,title,artist,peakPos,lastPos,weeks,isNew,rank,date,year
656,Brand New Draco,21 Savage & Metro Boomin,57,0,1,True,57,2020-10-17,2020
657,Happy Anywhere,Blake Shelton Featuring Gwen Stefani,56,56,11,False,58,2020-10-17,2020
658,Lovesick Girls,BLACKPINK,59,0,1,True,59,2020-10-17,2020
659,24,Money Man Featuring Lil Baby,54,54,8,False,60,2020-10-17,2020
660,Snitches & Rats,21 Savage & Metro Boomin Featuring Young Nudy,61,0,1,True,61,2020-10-17,2020
661,Wishing Well,Juice WRLD,5,51,13,False,62,2020-10-17,2020
662,Pretty Heart,Parker McCollum,58,58,13,False,63,2020-10-17,2020
663,Ice Cream,BLACKPINK X Selena Gomez,13,68,6,False,64,2020-10-17,2020
664,Rain On Me,Lady Gaga & Ariana Grande,1,55,20,False,65,2020-10-17,2020
665,Hawai,Maluma & The Weeknd,55,57,7,False,66,2020-10-17,2020
666,7 Summers,Morgan Wallen,6,61,8,False,67,2020-10-17,2020
667,Love You Like I Used To,Russell Dickerson,65,65,5,False,68,2020-10-17,2020
668,Heather,Conan Gray,46,60,8,False,69,2020-10-17,2020
669,Cool Again,Kane Brown,29,45,19,False,70,2020-10-17,2020
670,No Opp Left Behind,21 Savage & Metro Boomin,71,0,1,True,71,2020-10-17,2020
671,You Broke Me First.,Tate McRae,63,63,7,False,72,2020-10-17,2020
672,Levitating,Dua Lipa Featuring DaBaby,73,0,1,True,73,2020-10-17,2020
673,Steppin On N*ggas,21 Savage & Metro Boomin,74,0,1,True,74,2020-10-17,2020
674,Ain't Always The Cowboy,Jon Pardi,66,66,6,False,75,2020-10-17,2020
675,RIP Luv,21 Savage & Metro Boomin,76,0,1,True,76,2020-10-17,2020
676,Cardigan,Taylor Swift,1,53,11,False,77,2020-10-17,2020
677,Breaking Me,Topic & A7S,53,59,11,False,78,2020-10-17,2020
678,Everywhere But On,Matt Stell,69,69,5,False,79,2020-10-17,2020
679,Diamonds,Sam Smith,51,70,3,False,80,2020-10-17,2020
680,Starting Over,Chris Stapleton,57,64,6,False,81,2020-10-17,2020
681,OK Not To Be OK,Marshmello & Demi Lovato,36,73,4,False,82,2020-10-17,2020
682,Always Forever,Bryson Tiller,83,0,1,True,83,2020-10-17,2020
683,Years Go By,Bryson Tiller,84,0,1,True,84,2020-10-17,2020
684,Un Dia (One Day),"J Balvin, Dua Lipa, Bad Bunny & Tainy",63,77,11,False,85,2020-10-17,2020
685,Martin & Gina,Polo G,61,71,10,False,86,2020-10-17,2020
686,Hit Different,SZA Featuring Ty Dolla $ign,29,75,5,False,87,2020-10-17,2020
687,Greece,DJ Khaled Featuring Drake,8,67,12,False,88,2020-10-17,2020
688,The Bigger Picture,Lil Baby,3,72,17,False,89,2020-10-17,2020
689,Bloody Valentine,Machine Gun Kelly,50,50,2,False,90,2020-10-17,2020
690,Said N Done,21 Savage & Metro Boomin,91,0,1,True,91,2020-10-17,2020
691,Relacion,"Sech, Daddy Yankee & J Balvin Featuring ROSALIA & Farruko",64,76,5,False,92,2020-10-17,2020
692,Epidemic,Polo G,47,47,2,False,93,2020-10-17,2020
693,Do It,Chloe X Halle,63,80,8,False,94,2020-10-17,2020
694,Girls In The Hood,Megan Thee Stallion,28,74,15,False,95,2020-10-17,2020
695,Forget Me Too,Machine Gun Kelly & Halsey,44,44,2,False,96,2020-10-17,2020
696,B.S.,Jhene Aiko Featuring H.E.R.,24,92,10,False,97,2020-10-17,2020
697,Kacey Talk,YoungBoy Never Broke Again,50,79,8,False,98,2020-10-17,2020
698,Blind,DaBaby Featuring Young Thug,85,85,3,False,99,2020-10-17,2020
699,Caramelo,Ozuna x Karol G x Myke Towers,76,83,8,False,100,2020-10-17,2020
700,Franchise,Travis Scott Featuring Young Thug & M.I.A.,1,0,1,True,1,2020-10-10,2020
701,Dynamite,BTS,1,1,6,False,2,2020-10-10,2020
702,WAP,Cardi B Featuring Megan Thee Stallion,1,2,8,False,3,2020-10-10,2020
703,Laugh Now Cry Later,Drake Featuring Lil Durk,2,4,7,False,4,2020-10-10,2020
704,Mood,24kGoldn Featuring iann dior,5,5,8,False,5,2020-10-10,2020
705,Blinding Lights,The Weeknd,1,7,44,False,6,2020-10-10,2020
706,Rockstar,DaBaby Featuring Roddy Ricch,1,6,24,False,7,2020-10-10,2020
707,Savage Love (Laxed - Siren Beat),Jawsh 685 x Jason Derulo,7,9,16,False,8,2020-10-10,2020
708,Watermelon Sugar,Harry Styles,1,8,28,False,9,2020-10-10,2020
709,I Hope,Gabby Barrett Featuring Charlie Puth,10,10,40,False,10,2020-10-10,2020
710,Before You Go,Lewis Capaldi,9,11,35,False,11,2020-10-10,2020
711,Holy,Justin Bieber Featuring Chance The Rapper,3,3,2,False,12,2020-10-10,2020
712,Whats Poppin,"Jack Harlow Featuring DaBaby, Tory Lanez & Lil Wayne",2,12,34,False,13,2020-10-10,2020
713,Lemonade,Internet Money & Gunna Featuring Don Toliver & NAV,14,16,7,False,14,2020-10-10,2020
714,For The Night,Pop Smoke Featuring Lil Baby & DaBaby,6,15,13,False,15,2020-10-10,2020
715,Go Crazy,Chris Brown & Young Thug,9,13,21,False,16,2020-10-10,2020
716,Circles,Post Malone,1,17,57,False,17,2020-10-10,2020
717,One Of Them Girls,Lee Brice,18,22,18,False,18,2020-10-10,2020
718,Got What I Got,Jason Aldean,19,21,18,False,19,2020-10-10,2020
719,Come & Go,Juice WRLD x Marshmello,2,19,12,False,20,2020-10-10,2020
720,Popstar,DJ Khaled Featuring Drake,3,14,11,False,21,2020-10-10,2020
721,Roses,SAINt JHN,4,18,28,False,22,2020-10-10,2020
722,Be Like That,Kane Brown With Swae Lee & Khalid,22,27,12,False,23,2020-10-10,2020
723,Adore You,Harry Styles,6,23,43,False,24,2020-10-10,2020
724,Break My Heart,Dua Lipa,13,25,27,False,25,2020-10-10,2020
725,Lovin' On You,Luke Combs,23,26,14,False,26,2020-10-10,2020
726,Mood Swings,Pop Smoke Featuring Lil Tjay,17,20,13,False,27,2020-10-10,2020
727,My Ex's Best Friend,Machine Gun Kelly X blackbear,28,58,7,False,28,2020-10-10,2020
728,The Woo,Pop Smoke Featuring 50 Cent & Roddy Ricch,11,30,13,False,29,2020-10-10,2020
729,Tap In,Saweetie,20,28,12,False,30,2020-10-10,2020
730,If The World Was Ending,JP Saxe Featuring Julia Michaels,27,31,27,False,31,2020-10-10,2020
731,Bang!,AJR,32,33,13,False,32,2020-10-10,2020
732,Don't Start Now,Dua Lipa,2,32,48,False,33,2020-10-10,2020
733,More Than My Hometown,Morgan Wallen,34,34,16,False,34,2020-10-10,2020
734,ily,surf mesa Featuring Emilee,35,37,19,False,35,2020-10-10,2020
735,Said Sum,Moneybagg Yo,24,24,13,False,36,2020-10-10,2020
736,Kings & Queens,Ava Max,37,38,8,False,37,2020-10-10,2020
737,Rags2Riches,Rod Wave Featuring ATR Son Son,12,35,14,False,38,2020-10-10,2020
738,Midnight Sky,Miley Cyrus,14,39,7,False,39,2020-10-10,2020
739,What You Know Bout Love,Pop Smoke,40,56,4,False,40,2020-10-10,2020
740,Life Is Good,Future Featuring Drake,2,36,38,False,41,2020-10-10,2020
741,Some Girls,Jameson Rodgers,42,43,8,False,42,2020-10-10,2020
742,I Should Probably Go To Bed,Dan + Shay,42,42,9,False,43,2020-10-10,2020
743,Forget Me Too,Machine Gun Kelly & Halsey,44,0,1,True,44,2020-10-10,2020
744,Cool Again,Kane Brown,29,29,18,False,45,2020-10-10,2020
745,Chasin' You,Morgan Wallen,16,40,36,False,46,2020-10-10,2020
746,Epidemic,Polo G,47,0,1,True,47,2020-10-10,2020
747,Die From A Broken Heart,Maddie & Tae,22,44,25,False,48,2020-10-10,2020
748,We Paid,Lil Baby & 42 Dugg,10,46,22,False,49,2020-10-10,2020
749,Bloody Valentine,Machine Gun Kelly,50,0,1,True,50,2020-10-10,2020
750,Wishing Well,Juice WRLD,5,45,12,False,51,2020-10-10,2020
751,One Beer,HARDY Featuring Lauren Alaina & Devin Dawson,52,52,17,False,52,2020-10-10,2020
752,Cardigan,Taylor Swift,1,49,10,False,53,2020-10-10,2020
753,24,Money Man Featuring Lil Baby,54,60,7,False,54,2020-10-10,2020
754,Rain On Me,Lady Gaga & Ariana Grande,1,41,19,False,55,2020-10-10,2020
755,Happy Anywhere,Blake Shelton Featuring Gwen Stefani,56,57,10,False,56,2020-10-10,2020
756,Hawai,Maluma & The Weeknd,55,55,6,False,57,2020-10-10,2020
757,Pretty Heart,Parker McCollum,58,61,12,False,58,2020-10-10,2020
758,Breaking Me,Topic & A7S,53,53,10,False,59,2020-10-10,2020
759,Heather,Conan Gray,46,54,7,False,60,2020-10-10,2020
760,7 Summers,Morgan Wallen,6,59,7,False,61,2020-10-10,2020
761,I Called Mama,Tim McGraw,61,67,9,False,62,2020-10-10,2020
762,You Broke Me First.,Tate McRae,63,63,6,False,63,2020-10-10,2020
763,Starting Over,Chris Stapleton,57,73,5,False,64,2020-10-10,2020
764,Love You Like I Used To,Russell Dickerson,65,77,4,False,65,2020-10-10,2020
765,Ain't Always The Cowboy,Jon Pardi,66,79,5,False,66,2020-10-10,2020
766,Greece,DJ Khaled Featuring Drake,8,65,11,False,67,2020-10-10,2020
767,Ice Cream,BLACKPINK X Selena Gomez,13,66,5,False,68,2020-10-10,2020
768,Everywhere But On,Matt Stell,69,83,4,False,69,2020-10-10,2020
769,Diamonds,Sam Smith,51,51,2,False,70,2020-10-10,2020
770,Martin & Gina,Polo G,61,74,9,False,71,2020-10-10,2020
771,The Bigger Picture,Lil Baby,3,69,16,False,72,2020-10-10,2020
772,OK Not To Be OK,Marshmello & Demi Lovato,36,75,3,False,73,2020-10-10,2020
773,Girls In The Hood,Megan Thee Stallion,28,68,14,False,74,2020-10-10,2020
774,Hit Different,SZA Featuring Ty Dolla $ign,29,81,4,False,75,2020-10-10,2020
775,Relacion,"Sech, Daddy Yankee & J Balvin Featuring ROSALIA & Farruko",64,76,4,False,76,2020-10-10,2020
776,Un Dia (One Day),"J Balvin, Dua Lipa, Bad Bunny & Tainy",63,71,10,False,77,2020-10-10,2020
777,Dollaz On My Head,Gunna Featuring Young Thug,38,87,17,False,78,2020-10-10,2020
778,Kacey Talk,YoungBoy Never Broke Again,50,72,7,False,79,2020-10-10,2020
779,Do It,Chloe X Halle,63,85,7,False,80,2020-10-10,2020
780,Smile,Juice WRLD & The Weeknd,8,78,8,False,81,2020-10-10,2020
781,Like That,Doja Cat Featuring Gucci Mane,50,64,18,False,82,2020-10-10,2020
782,Caramelo,Ozuna x Karol G x Myke Towers,76,84,7,False,83,2020-10-10,2020
783,Over Now,Calvin Harris X The Weeknd,38,86,5,False,84,2020-10-10,2020
784,Blind,DaBaby Featuring Young Thug,85,95,2,False,85,2020-10-10,2020
785,Nobody's Love,Maroon 5,41,82,10,False,86,2020-10-10,2020
786,You Got It,VEDO,87,88,3,False,87,2020-10-10,2020
787,U 2 Luv,Ne-Yo & Jeremih,88,0,1,True,88,2020-10-10,2020
788,Better,Zayn,89,0,1,True,89,2020-10-10,2020
789,3 Headed Goat,Lil Durk Featuring Lil Baby & Polo G,43,96,14,False,90,2020-10-10,2020
790,Drunk Face,Machine Gun Kelly,91,0,1,True,91,2020-10-10,2020
791,B.S.,Jhene Aiko Featuring H.E.R.,24,99,9,False,92,2020-10-10,2020
792,"Big, Big Plans",Chris Lane,93,0,1,True,93,2020-10-10,2020
793,"Ay, Dios Mio!",Karol G,94,0,1,True,94,2020-10-10,2020
794,Good Time,Niko Moon,95,0,1,True,95,2020-10-10,2020
795,Put Your Records On,Ritt Momney,96,0,1,True,96,2020-10-10,2020
796,Money Over Fallouts,Tory Lanez,97,0,1,True,97,2020-10-10,2020
797,Moral Of The Story,Ashe Featuring Niall Horan,71,0,3,False,98,2020-10-10,2020
798,One Too Many,Keith Urban Duet With P!nk,62,62,2,False,99,2020-10-10,2020
799,La Jeepeta,Nio Garcia x Anuel AA x Myke Towers x Brray x Juanka,93,98,8,False,100,2020-10-10,2020
800,Dynamite,BTS,1,2,5,False,1,2020-10-03,2020
801,WAP,Cardi B Featuring Megan Thee Stallion,1,1,7,False,2,2020-10-03,2020
802,Holy,Justin Bieber Featuring Chance The Rapper,3,0,1,True,3,2020-10-03,2020
803,Laugh Now Cry Later,Drake Featuring Lil Durk,2,3,6,False,4,2020-10-03,2020
804,Mood,24kGoldn Featuring iann dior,5,6,7,False,5,2020-10-03,2020
805,Rockstar,DaBaby Featuring Roddy Ricch,1,4,23,False,6,2020-10-03,2020
806,Blinding Lights,The Weeknd,1,5,43,False,7,2020-10-03,2020
807,Watermelon Sugar,Harry Styles,1,7,27,False,8,2020-10-03,2020
808,Savage Love (Laxed - Siren Beat),Jawsh 685 x Jason Derulo,7,8,15,False,9,2020-10-03,2020
809,I Hope,Gabby Barrett Featuring Charlie Puth,10,11,39,False,10,2020-10-03,2020
810,Before You Go,Lewis Capaldi,9,9,34,False,11,2020-10-03,2020
811,Whats Poppin,"Jack Harlow Featuring DaBaby, Tory Lanez & Lil Wayne",2,10,33,False,12,2020-10-03,2020
812,Go Crazy,Chris Brown & Young Thug,9,13,20,False,13,2020-10-03,2020
813,Popstar,DJ Khaled Featuring Drake,3,12,10,False,14,2020-10-03,2020
814,For The Night,Pop Smoke Featuring Lil Baby & DaBaby,6,15,12,False,15,2020-10-03,2020
815,Lemonade,Internet Money & Gunna Featuring Don Toliver & NAV,16,22,6,False,16,2020-10-03,2020
816,Circles,Post Malone,1,16,56,False,17,2020-10-03,2020
817,Roses,SAINt JHN,4,14,27,False,18,2020-10-03,2020
818,Come & Go,Juice WRLD x Marshmello,2,17,11,False,19,2020-10-03,2020
819,Mood Swings,Pop Smoke Featuring Lil Tjay,17,26,12,False,20,2020-10-03,2020
820,Got What I Got,Jason Aldean,21,21,17,False,21,2020-10-03,2020
821,One Of Them Girls,Lee Brice,19,19,17,False,22,2020-10-03,2020
822,Adore You,Harry Styles,6,18,42,False,23,2020-10-03,2020
823,Said Sum,Moneybagg Yo,24,60,12,False,24,2020-10-03,2020
824,Break My Heart,Dua Lipa,13,20,26,False,25,2020-10-03,2020
825,Lovin' On You,Luke Combs,23,23,13,False,26,2020-10-03,2020
826,Be Like That,Kane Brown With Swae Lee & Khalid,22,25,11,False,27,2020-10-03,2020
827,Tap In,Saweetie,20,24,11,False,28,2020-10-03,2020
828,Cool Again,Kane Brown,29,31,17,False,29,2020-10-03,2020
829,The Woo,Pop Smoke Featuring 50 Cent & Roddy Ricch,11,27,12,False,30,2020-10-03,2020
830,If The World Was Ending,JP Saxe Featuring Julia Michaels,27,30,26,False,31,2020-10-03,2020
831,Don't Start Now,Dua Lipa,2,28,47,False,32,2020-10-03,2020
832,Bang!,AJR,33,41,12,False,33,2020-10-03,2020
833,More Than My Hometown,Morgan Wallen,34,39,15,False,34,2020-10-03,2020
834,Rags2Riches,Rod Wave Featuring ATR Son Son,12,32,13,False,35,2020-10-03,2020
835,Life Is Good,Future Featuring Drake,2,33,37,False,36,2020-10-03,2020
836,ily,surf mesa Featuring Emilee,37,49,18,False,37,2020-10-03,2020
837,Kings & Queens,Ava Max,38,57,7,False,38,2020-10-03,2020
838,Midnight Sky,Miley Cyrus,14,34,6,False,39,2020-10-03,2020
839,Chasin' You,Morgan Wallen,16,43,35,False,40,2020-10-03,2020
840,Rain On Me,Lady Gaga & Ariana Grande,1,37,18,False,41,2020-10-03,2020
841,I Should Probably Go To Bed,Dan + Shay,42,45,8,False,42,2020-10-03,2020
842,Some Girls,Jameson Rodgers,43,62,7,False,43,2020-10-03,2020
843,Die From A Broken Heart,Maddie & Tae,22,38,24,False,44,2020-10-03,2020
844,Wishing Well,Juice WRLD,5,42,11,False,45,2020-10-03,2020
845,We Paid,Lil Baby & 42 Dugg,10,46,21,False,46,2020-10-03,2020
846,Say So,Doja Cat Featuring Nicki Minaj,1,48,38,False,47,2020-10-03,2020
847,Savage,Megan Thee Stallion,1,40,28,False,48,2020-10-03,2020
848,Cardigan,Taylor Swift,1,52,9,False,49,2020-10-03,2020
849,Blueberry Faygo,Lil Mosey,8,47,33,False,50,2020-10-03,2020
850,Diamonds,Sam Smith,51,0,1,True,51,2020-10-03,2020
851,One Beer,HARDY Featuring Lauren Alaina & Devin Dawson,52,56,16,False,52,2020-10-03,2020
852,Breaking Me,Topic & A7S,53,55,9,False,53,2020-10-03,2020
853,Heather,Conan Gray,46,51,6,False,54,2020-10-03,2020
854,Hawai,Maluma & The Weeknd,55,58,5,False,55,2020-10-03,2020
855,What You Know Bout Love,Pop Smoke,52,83,3,False,56,2020-10-03,2020
856,Happy Anywhere,Blake Shelton Featuring Gwen Stefani,56,66,9,False,57,2020-10-03,2020
857,My Ex's Best Friend,Machine Gun Kelly X blackbear,58,70,6,False,58,2020-10-03,2020
858,7 Summers,Morgan Wallen,6,64,6,False,59,2020-10-03,2020
859,24,Money Man Featuring Lil Baby,60,68,6,False,60,2020-10-03,2020
860,Pretty Heart,Parker McCollum,61,73,11,False,61,2020-10-03,2020
861,One Too Many,Keith Urban Duet With P!nk,62,0,1,True,62,2020-10-03,2020
862,You Broke Me First.,Tate McRae,63,69,5,False,63,2020-10-03,2020
863,Like That,Doja Cat Featuring Gucci Mane,50,54,17,False,64,2020-10-03,2020
864,Greece,DJ Khaled Featuring Drake,8,74,10,False,65,2020-10-03,2020
865,Ice Cream,BLACKPINK X Selena Gomez,13,61,4,False,66,2020-10-03,2020
866,I Called Mama,Tim McGraw,61,78,8,False,67,2020-10-03,2020
867,Girls In The Hood,Megan Thee Stallion,28,53,13,False,68,2020-10-03,2020
868,The Bigger Picture,Lil Baby,3,71,15,False,69,2020-10-03,2020
869,Without You,Luke Combs Featuring Amanda Shires,70,0,1,True,70,2020-10-03,2020
870,Un Dia (One Day),"J Balvin, Dua Lipa, Bad Bunny & Tainy",63,80,9,False,71,2020-10-03,2020
871,Kacey Talk,YoungBoy Never Broke Again,50,50,6,False,72,2020-10-03,2020
872,Starting Over,Chris Stapleton,57,89,4,False,73,2020-10-03,2020
873,Martin & Gina,Polo G,61,84,8,False,74,2020-10-03,2020
874,OK Not To Be OK,Marshmello & Demi Lovato,36,36,2,False,75,2020-10-03,2020
875,Relacion,"Sech, Daddy Yankee & J Balvin Featuring ROSALIA & Farruko",64,75,3,False,76,2020-10-03,2020
876,Love You Like I Used To,Russell Dickerson,77,87,3,False,77,2020-10-03,2020
877,Smile,Juice WRLD & The Weeknd,8,79,7,False,78,2020-10-03,2020
878,Ain't Always The Cowboy,Jon Pardi,79,93,4,False,79,2020-10-03,2020
879,Dolly,Lil Tecca & Lil Uzi Vert,80,0,1,True,80,2020-10-03,2020
880,Hit Different,SZA Featuring Ty Dolla $ign,29,77,3,False,81,2020-10-03,2020
881,Nobody's Love,Maroon 5,41,63,9,False,82,2020-10-03,2020
882,Everywhere But On,Matt Stell,83,94,3,False,83,2020-10-03,2020
883,Caramelo,Ozuna x Karol G x Myke Towers,76,85,6,False,84,2020-10-03,2020
884,Do It,Chloe X Halle,63,86,6,False,85,2020-10-03,2020
885,Over Now,Calvin Harris X The Weeknd,38,82,4,False,86,2020-10-03,2020
886,Dollaz On My Head,Gunna Featuring Young Thug,38,92,16,False,87,2020-10-03,2020
887,You Got It,VEDO,88,95,2,False,88,2020-10-03,2020
888,My Window,YoungBoy Never Broke Again Featuring Lil Wayne,35,35,2,False,89,2020-10-03,2020
889,When You Down,Lil Tecca & Polo G Featuring Lil Durk,90,0,1,True,90,2020-10-03,2020
890,Me Gusta,Anitta Featuring Cardi B & Myke Towers,91,0,1,True,91,2020-10-03,2020
891,Wet. (She Got That...),YFN Lucci,92,0,1,True,92,2020-10-03,2020
892,Whole Lotta Choppas,Sada Baby Featuring Nicki Minaj,93,0,1,True,93,2020-10-03,2020
893,Lonely If You Are,Chase Rice,91,91,6,False,94,2020-10-03,2020
894,Blind,DaBaby Featuring Young Thug,95,0,1,True,95,2020-10-03,2020
895,3 Headed Goat,Lil Durk Featuring Lil Baby & Polo G,43,97,13,False,96,2020-10-03,2020
896,Drug Addiction,YoungBoy Never Broke Again,44,44,2,False,97,2020-10-03,2020
897,La Jeepeta,Nio Garcia x Anuel AA x Myke Towers x Brray x Juanka,93,99,7,False,98,2020-10-03,2020
898,B.S.,Jhene Aiko Featuring H.E.R.,24,0,8,False,99,2020-10-03,2020
899,Wolves,Big Sean Featuring Post Malone,65,0,2,False,100,2020-10-03,2020
900,WAP,Cardi B Featuring Megan Thee Stallion,1,1,6,False,1,2020-09-26,2020
901,Dynamite,BTS,1,2,4,False,2,2020-09-26,2020
902,Laugh Now Cry Later,Drake Featuring Lil Durk,2,3,5,False,3,2020-09-26,2020
903,Rockstar,DaBaby Featuring Roddy Ricch,1,4,22,False,4,2020-09-26,2020
904,Blinding Lights,The Weeknd,1,5,42,False,5,2020-09-26,2020
905,Mood,24kGoldn Featuring iann dior,6,6,6,False,6,2020-09-26,2020
906,Watermelon Sugar,Harry Styles,1,7,26,False,7,2020-09-26,2020
907,Savage Love (Laxed - Siren Beat),Jawsh 685 x Jason Derulo,7,9,14,False,8,2020-09-26,2020
908,Before You Go,Lewis Capaldi,9,11,33,False,9,2020-09-26,2020
909,Whats Poppin,"Jack Harlow Featuring DaBaby, Tory Lanez & Lil Wayne",2,8,32,False,10,2020-09-26,2020
910,I Hope,Gabby Barrett Featuring Charlie Puth,10,12,38,False,11,2020-09-26,2020
911,Popstar,DJ Khaled Featuring Drake,3,10,9,False,12,2020-09-26,2020
912,Go Crazy,Chris Brown & Young Thug,9,14,19,False,13,2020-09-26,2020
913,Roses,SAINt JHN,4,13,26,False,14,2020-09-26,2020
914,For The Night,Pop Smoke Featuring Lil Baby & DaBaby,6,15,11,False,15,2020-09-26,2020
915,Circles,Post Malone,1,16,55,False,16,2020-09-26,2020
916,Come & Go,Juice WRLD x Marshmello,2,19,10,False,17,2020-09-26,2020
917,Adore You,Harry Styles,6,18,41,False,18,2020-09-26,2020
918,One Of Them Girls,Lee Brice,19,22,16,False,19,2020-09-26,2020
919,Break My Heart,Dua Lipa,13,17,25,False,20,2020-09-26,2020
920,Got What I Got,Jason Aldean,21,26,16,False,21,2020-09-26,2020
921,Lemonade,Internet Money & Gunna Featuring Don Toliver & NAV,22,38,5,False,22,2020-09-26,2020
922,Lovin' On You,Luke Combs,23,23,12,False,23,2020-09-26,2020
923,Tap In,Saweetie,20,20,10,False,24,2020-09-26,2020
924,Be Like That,Kane Brown With Swae Lee & Khalid,22,24,10,False,25,2020-09-26,2020
925,Mood Swings,Pop Smoke Featuring Lil Tjay,17,21,11,False,26,2020-09-26,2020
926,The Woo,Pop Smoke Featuring 50 Cent & Roddy Ricch,11,27,11,False,27,2020-09-26,2020
927,Don't Start Now,Dua Lipa,2,25,46,False,28,2020-09-26,2020
928,The Bones,Maren Morris,12,28,52,False,29,2020-09-26,2020
929,If The World Was Ending,JP Saxe Featuring Julia Michaels,27,30,25,False,30,2020-09-26,2020
930,Cool Again,Kane Brown,31,36,16,False,31,2020-09-26,2020
931,Rags2Riches,Rod Wave Featuring ATR Son Son,12,35,12,False,32,2020-09-26,2020
932,Life Is Good,Future Featuring Drake,2,33,36,False,33,2020-09-26,2020
933,Midnight Sky,Miley Cyrus,14,34,5,False,34,2020-09-26,2020
934,My Window,YoungBoy Never Broke Again Featuring Lil Wayne,35,0,1,True,35,2020-09-26,2020
935,OK Not To Be OK,Marshmello & Demi Lovato,36,0,1,True,36,2020-09-26,2020
936,Rain On Me,Lady Gaga & Ariana Grande,1,37,17,False,37,2020-09-26,2020
937,Die From A Broken Heart,Maddie & Tae,22,31,23,False,38,2020-09-26,2020
938,More Than My Hometown,Morgan Wallen,39,53,14,False,39,2020-09-26,2020
939,Savage,Megan Thee Stallion,1,32,27,False,40,2020-09-26,2020
940,Bang!,AJR,41,51,11,False,41,2020-09-26,2020
941,Wishing Well,Juice WRLD,5,43,10,False,42,2020-09-26,2020
942,Chasin' You,Morgan Wallen,16,42,34,False,43,2020-09-26,2020
943,Drug Addiction,YoungBoy Never Broke Again,44,0,1,True,44,2020-09-26,2020
944,I Should Probably Go To Bed,Dan + Shay,43,54,7,False,45,2020-09-26,2020
945,We Paid,Lil Baby & 42 Dugg,10,47,20,False,46,2020-09-26,2020
946,Blueberry Faygo,Lil Mosey,8,41,32,False,47,2020-09-26,2020
947,Say So,Doja Cat Featuring Nicki Minaj,1,40,37,False,48,2020-09-26,2020
948,ily,surf mesa Featuring Emilee,49,59,17,False,49,2020-09-26,2020
949,Kacey Talk,YoungBoy Never Broke Again,50,87,5,False,50,2020-09-26,2020
950,Heather,Conan Gray,46,46,5,False,51,2020-09-26,2020
951,Cardigan,Taylor Swift,1,52,8,False,52,2020-09-26,2020
952,Girls In The Hood,Megan Thee Stallion,28,45,12,False,53,2020-09-26,2020
953,Like That,Doja Cat Featuring Gucci Mane,50,50,16,False,54,2020-09-26,2020
954,Breaking Me,Topic & A7S,55,60,8,False,55,2020-09-26,2020
955,One Beer,HARDY Featuring Lauren Alaina & Devin Dawson,56,57,15,False,56,2020-09-26,2020
956,Kings & Queens,Ava Max,57,66,6,False,57,2020-09-26,2020
957,Hawai,Maluma & The Weeknd,55,55,4,False,58,2020-09-26,2020
958,One Margarita,Luke Bryan,19,56,20,False,59,2020-09-26,2020
959,Said Sum,Moneybagg Yo,44,71,11,False,60,2020-09-26,2020
960,Ice Cream,BLACKPINK X Selena Gomez,13,49,3,False,61,2020-09-26,2020
961,Some Girls,Jameson Rodgers,62,70,6,False,62,2020-09-26,2020
962,Nobody's Love,Maroon 5,41,44,8,False,63,2020-09-26,2020
963,7 Summers,Morgan Wallen,6,72,5,False,64,2020-09-26,2020
964,Gone Too Soon,Andrew Jannakos,65,0,1,True,65,2020-09-26,2020
965,Happy Anywhere,Blake Shelton Featuring Gwen Stefani,56,77,8,False,66,2020-09-26,2020
966,All In,YoungBoy Never Broke Again,67,0,3,False,67,2020-09-26,2020
967,24,Money Man Featuring Lil Baby,63,73,5,False,68,2020-09-26,2020
968,You Broke Me First.,Tate McRae,69,85,4,False,69,2020-09-26,2020
969,My Ex's Best Friend,Machine Gun Kelly X blackbear,68,68,5,False,70,2020-09-26,2020
970,The Bigger Picture,Lil Baby,3,58,14,False,71,2020-09-26,2020
971,Dead Trollz,YoungBoy Never Broke Again,72,0,1,True,72,2020-09-26,2020
972,Pretty Heart,Parker McCollum,73,79,10,False,73,2020-09-26,2020
973,Greece,DJ Khaled Featuring Drake,8,67,9,False,74,2020-09-26,2020
974,Relacion,"Sech, Daddy Yankee & J Balvin Featuring ROSALIA & Farruko",64,64,2,False,75,2020-09-26,2020
975,Cross Roads,YoungBoy Never Broke Again,76,0,1,True,76,2020-09-26,2020
976,Hit Different,SZA Featuring Ty Dolla $ign,29,29,2,False,77,2020-09-26,2020
977,I Called Mama,Tim McGraw,61,80,7,False,78,2020-09-26,2020
978,Smile,Juice WRLD & The Weeknd,8,74,6,False,79,2020-09-26,2020
979,Un Dia (One Day),"J Balvin, Dua Lipa, Bad Bunny & Tainy",63,75,8,False,80,2020-09-26,2020
980,The Last Backyard...,YoungBoy Never Broke Again,81,0,1,True,81,2020-09-26,2020
981,Over Now,Calvin Harris X The Weeknd,38,78,3,False,82,2020-09-26,2020
982,What You Know Bout Love,Pop Smoke,52,0,2,False,83,2020-09-26,2020
983,Martin & Gina,Polo G,61,81,7,False,84,2020-09-26,2020
984,Caramelo,Ozuna x Karol G x Myke Towers,76,76,5,False,85,2020-09-26,2020
985,Do It,Chloe X Halle,63,63,5,False,86,2020-09-26,2020
986,Love You Like I Used To,Russell Dickerson,87,91,2,False,87,2020-09-26,2020
987,Right Foot Creep,YoungBoy Never Broke Again,88,0,1,True,88,2020-09-26,2020
