,song,artist,peak_rank,rank_last_week,weeks_on_chart,rank,date
3376,That's A Rack,Lil Uzi Vert,76,82,3,77,2019-05-11
3377,I've Been Waiting,Lil Peep & iLoveMakonnen Featuring Fall Out Boy,62,64,8,78,2019-05-11
3378,Wish You Were Gay,Billie Eilish,31,73,9,79,2019-05-11
3379,You Should See Me In A Crown,Billie Eilish,41,65,6,80,2019-05-11
3380,Put A Date On It,Yo Gotti Featuring Lil Baby,46,77,14,81,2019-05-11
3381,Talk You Out Of It,Florida Georgia Line,78,78,11,82,2019-05-11
3382,I'm So Tired...,Lauv & Troye Sivan,81,81,4,83,2019-05-11
3383,On My Way To You,Cody Johnson,84,89,10,84,2019-05-11
3384,CHopstix,ScHoolboy Q + Travis Scott,85,0,1,85,2019-05-11
3385,Shotta Flow,NLE Choppa,86,96,2,86,2019-05-11
3386,Shot Clock,Ella Mai,62,79,14,87,2019-05-11
3387,Ocean Eyes,Billie Eilish,84,84,11,88,2019-05-11
3388,Secreto,Anuel AA & Karol G,68,83,10,89,2019-05-11
3389,Light It Up,"Marshmello, Tyga & Chris Brown",90,0,1,90,2019-05-11
3390,Love Someone,Brett Eldredge,91,93,2,91,2019-05-11
3391,Power Is Power,"SZA, The Weeknd & Travis Scott",92,0,1,92,2019-05-11
3392,Faucet Failure,Ski Mask The Slump God,87,88,10,93,2019-05-11
3393,Knockin' Boots,Luke Bryan,94,0,1,94,2019-05-11
3394,Numb Numb Juice,ScHoolboy Q,55,0,2,95,2019-05-11
3395,Love Me Anyway,P!nk Featuring Chris Stapleton,96,0,1,96,2019-05-11
3396,24/7,Meek Mill Featuring Ella Mai,54,0,4,97,2019-05-11
3397,Stop Snitching,YG,98,0,1,98,2019-05-11
3398,SOS,Avicii Featuring Aloe Blacc,68,87,3,99,2019-05-11
3399,Kill This Love,BLACKPINK,41,86,4,100,2019-05-11
3200,Old Town Road,Lil Nas X Featuring Billy Ray Cyrus,1,1,10,1,2019-05-18
3201,If I Can't Have You,Shawn Mendes,2,0,1,2,2019-05-18
3202,ME!,Taylor Swift Featuring Brendon Urie,2,2,3,3,2019-05-18
3203,Sucker,Jonas Brothers,1,4,10,4,2019-05-18
3204,Homicide,Logic Featuring Eminem,5,0,1,5,2019-05-18
3205,Wow.,Post Malone,2,3,20,6,2019-05-18
3206,Sunflower (Spider-Man: Into The Spider-Verse),Post Malone & Swae Lee,1,5,29,7,2019-05-18
3207,Without Me,Halsey,1,7,31,8,2019-05-18
3208,Bad Guy,Billie Eilish,7,9,6,9,2019-05-18
3209,7 Rings,Ariana Grande,1,6,16,10,2019-05-18
3210,Dancing With A Stranger,Sam Smith & Normani,7,8,17,11,2019-05-18
3211,Talk,Khalid,8,10,13,12,2019-05-18
3212,Sweet But Psycho,Ava Max,11,11,21,13,2019-05-18
3213,Middle Child,J. Cole,4,12,16,14,2019-05-18
3214,"Break Up With Your Girlfriend, I'm Bored",Ariana Grande,2,13,13,15,2019-05-18
3215,Happier,Marshmello & Bastille,2,14,38,16,2019-05-18
3216,Going Bad,Meek Mill Featuring Drake,6,16,23,17,2019-05-18
3217,Eastside,"benny blanco, Halsey & Khalid",9,17,43,18,2019-05-18
3218,Shallow,Lady Gaga & Bradley Cooper,1,15,32,19,2019-05-18
3219,High Hopes,Panic! At The Disco,4,18,40,20,2019-05-18
3220,Better,Khalid,8,20,34,21,2019-05-18
3221,Suge,DaBaby,22,27,6,22,2019-05-18
3222,Please Me,Cardi B & Bruno Mars,3,19,12,23,2019-05-18
3223,Pure Water,Mustard & Migos,23,23,15,24,2019-05-18
3224,Girls Like You,Maroon 5 Featuring Cardi B,1,21,50,25,2019-05-18
3225,Sicko Mode,Travis Scott,1,24,40,26,2019-05-18
3226,Look Back At It,A Boogie Wit da Hoodie,27,29,22,27,2019-05-18
3227,Whiskey Glasses,Morgan Wallen,28,33,10,28,2019-05-18
3228,Act Up,City Girls,29,30,10,29,2019-05-18
3229,A Lot,21 Savage,12,22,20,30,2019-05-18
3230,Con Calma,Daddy Yankee & Katy Perry Featuring Snow,31,35,14,31,2019-05-18
3231,Beautiful Crazy,Luke Combs,21,28,26,32,2019-05-18
3232,God's Country,Blake Shelton,33,34,6,33,2019-05-18
3233,Here With Me,Marshmello Featuring CHVRCHES,31,31,9,34,2019-05-18
3234,Envy Me,Calboy,31,32,21,35,2019-05-18
3235,Thotiana,Blueface,8,25,17,36,2019-05-18
3236,Be Alright,Dean Lewis,23,26,28,37,2019-05-18
3237,Eyes On You,Chase Rice,38,38,12,38,2019-05-18
3238,Pop Out,Polo G Featuring Lil Tjay,39,51,7,39,2019-05-18
3239,When The Party's Over,Billie Eilish,29,39,26,40,2019-05-18
3240,Drip Too Hard,Lil Baby & Gunna,4,37,34,41,2019-05-18
3241,Good As You,Kane Brown,42,46,11,42,2019-05-18
3242,Close To Me,Ellie Goulding X Diplo Featuring Swae Lee,24,36,25,43,2019-05-18
3243,Clout,Offset Featuring Cardi B,39,47,5,44,2019-05-18
3244,You Say,Lauren Daigle,29,43,43,45,2019-05-18
3245,Bury A Friend,Billie Eilish,14,45,15,46,2019-05-18
3246,Sanguine Paradise,Lil Uzi Vert,28,42,4,47,2019-05-18
3247,"Thank U, Next",Ariana Grande,1,48,27,48,2019-05-18
3248,Murder On My Mind,YNW Melly,14,44,16,49,2019-05-18
3249,Truth Hurts,Lizzo,50,0,1,50,2019-05-18
3250,Boy With Luv,BTS Featuring Halsey,8,40,4,51,2019-05-18
3251,Worth It,YK Osiris,52,57,12,52,2019-05-18
3252,Who Do You Love,The Chainsmokers Featuring 5 Seconds Of Summer,52,52,13,53,2019-05-18
3253,Close Friends,Lil Baby,28,56,28,54,2019-05-18
3254,Look What God Gave Her,Thomas Rhett,48,53,10,55,2019-05-18
3255,Night Shift,Jon Pardi,56,59,12,56,2019-05-18
3256,Rumor,Lee Brice,57,61,9,57,2019-05-18
3257,Walk Me Home,P!nk,49,49,10,58,2019-05-18
3258,"Hey Look Ma, I Made It",Panic! At The Disco,59,66,4,59,2019-05-18
3259,Love Ain't,Eli Young Band,60,60,4,60,2019-05-18
3260,Earth,Lil Dicky,17,41,3,61,2019-05-18
3261,Baby Shark,Pinkfong,32,55,19,62,2019-05-18
3262,Swervin,A Boogie Wit da Hoodie Featuring 6ix9ine,38,58,20,63,2019-05-18
3263,Miss Me More,Kelsea Ballerini,59,62,14,64,2019-05-18
3264,Big Ole Freak,Megan Thee Stallion,65,70,5,65,2019-05-18
3265,Here Tonight,Brett Young,42,54,18,66,2019-05-18
3266,Before I Let Go,Beyonce,65,65,3,67,2019-05-18
3267,Beer Never Broke My Heart,Luke Combs,68,0,1,68,2019-05-18
3268,Don't Call Me Up,Mabel,67,71,7,69,2019-05-18
3269,Cool,Jonas Brothers,27,72,5,70,2019-05-18
3270,Go Loko,"YG, Tyga & Jon Z",71,0,1,71,2019-05-18
3271,GIRL,Maren Morris,61,75,10,72,2019-05-18
3272,Racks In The Middle,Nipsey Hussle Featuring Roddy Ricch & Hit-Boy,26,63,6,73,2019-05-18
3273,Robbery,Juice WRLD,27,68,12,74,2019-05-18
3274,Girls Need Love,Summer Walker X Drake,37,74,11,75,2019-05-18
3275,Make It Sweet,Old Dominion,56,64,19,76,2019-05-18
3276,Calma,Pedro Capo X Farruko,71,73,8,77,2019-05-18
3277,Mixed Personalities,YNW Melly Featuring Kanye West,42,76,16,78,2019-05-18
3278,Talk You Out Of It,Florida Georgia Line,78,82,12,79,2019-05-18
3279,Put A Date On It,Yo Gotti Featuring Lil Baby,46,81,15,80,2019-05-18
3280,I'm So Tired...,Lauv & Troye Sivan,81,83,5,81,2019-05-18
3281,Shotta Flow,NLE Choppa,82,86,3,82,2019-05-18
3282,That's A Rack,Lil Uzi Vert,76,77,4,83,2019-05-18
3283,Knockin' Boots,Luke Bryan,84,94,2,84,2019-05-18
3284,24/7,Meek Mill Featuring Ella Mai,54,97,5,85,2019-05-18
3285,You Should See Me In A Crown,Billie Eilish,41,80,7,86,2019-05-18
3286,On My Way To You,Cody Johnson,84,84,11,87,2019-05-18
3287,Baila Baila Baila,Ozuna x Daddy Yankee x J Balvin x Farruko x Anuel AA,69,69,2,88,2019-05-18
3288,Love Someone,Brett Eldredge,89,91,3,89,2019-05-18
3289,Power Is Power,"SZA, The Weeknd & Travis Scott",90,92,2,90,2019-05-18
3290,Middle Child,PnB Rock & XXXTENTACION,91,0,1,91,2019-05-18
3291,Shot Clock,Ella Mai,62,87,15,92,2019-05-18
3292,Ocean Eyes,Billie Eilish,84,88,12,93,2019-05-18
3293,Wish You Were Gay,Billie Eilish,31,79,10,94,2019-05-18
3294,I've Been Waiting,Lil Peep & iLoveMakonnen Featuring Fall Out Boy,62,78,9,95,2019-05-18
3295,All To Myself,Dan + Shay,96,0,1,96,2019-05-18
3296,Secreto,Anuel AA & Karol G,68,89,11,97,2019-05-18
3297,Paradise,Bazzi,98,0,1,98,2019-05-18
3298,Die Young,Roddy Ricch,99,0,1,99,2019-05-18
3299,Faucet Failure,Ski Mask The Slump God,87,93,11,100,2019-05-18
3100,Old Town Road,Lil Nas X Featuring Billy Ray Cyrus,1,1,11,1,2019-05-25
3101,I Don't Care,Ed Sheeran & Justin Bieber,2,0,1,2,2019-05-25
3102,Sucker,Jonas Brothers,1,4,11,3,2019-05-25
3103,Bad Guy,Billie Eilish,4,9,7,4,2019-05-25
3104,Wow.,Post Malone,2,6,21,5,2019-05-25
3105,Sunflower (Spider-Man: Into The Spider-Verse),Post Malone & Swae Lee,1,7,30,6,2019-05-25
3106,Dancing With A Stranger,Sam Smith & Normani,7,11,18,7,2019-05-25
3107,ME!,Taylor Swift Featuring Brendon Urie,2,3,4,8,2019-05-25
3108,Talk,Khalid,8,12,14,9,2019-05-25
3109,Without Me,Halsey,1,8,32,10,2019-05-25
3110,7 Rings,Ariana Grande,1,10,17,11,2019-05-25
3111,Sweet But Psycho,Ava Max,11,13,22,12,2019-05-25
3112,If I Can't Have You,Shawn Mendes,2,2,2,13,2019-05-25
3113,Middle Child,J. Cole,4,14,17,14,2019-05-25
3114,"Break Up With Your Girlfriend, I'm Bored",Ariana Grande,2,15,14,15,2019-05-25
3115,Suge,DaBaby,16,22,7,16,2019-05-25
3116,Happier,Marshmello & Bastille,2,16,39,17,2019-05-25
3117,Going Bad,Meek Mill Featuring Drake,6,17,24,18,2019-05-25
3118,Eastside,"benny blanco, Halsey & Khalid",9,18,44,19,2019-05-25
3119,High Hopes,Panic! At The Disco,4,20,41,20,2019-05-25
3120,Homicide,Logic Featuring Eminem,5,5,2,21,2019-05-25
3121,Shallow,Lady Gaga & Bradley Cooper,1,19,33,22,2019-05-25
3122,Better,Khalid,8,21,35,23,2019-05-25
3123,God's Country,Blake Shelton,24,33,7,24,2019-05-25
3124,Whiskey Glasses,Morgan Wallen,25,28,11,25,2019-05-25
3125,Pure Water,Mustard & Migos,23,24,16,26,2019-05-25
3126,Please Me,Cardi B & Bruno Mars,3,23,13,27,2019-05-25
3127,Look Back At It,A Boogie Wit da Hoodie,27,27,23,28,2019-05-25
3128,Beer Never Broke My Heart,Luke Combs,29,68,2,29,2019-05-25
3129,Con Calma,Daddy Yankee & Katy Perry Featuring Snow,30,31,15,30,2019-05-25
3130,Sicko Mode,Travis Scott,1,26,41,31,2019-05-25
3131,Girls Like You,Maroon 5 Featuring Cardi B,1,25,51,32,2019-05-25
3132,Act Up,City Girls,29,29,11,33,2019-05-25
3133,Pop Out,Polo G Featuring Lil Tjay,34,39,8,34,2019-05-25
3134,Envy Me,Calboy,31,35,22,35,2019-05-25
3135,Beautiful Crazy,Luke Combs,21,32,27,36,2019-05-25
3136,Here With Me,Marshmello Featuring CHVRCHES,31,34,10,37,2019-05-25
3137,A Lot,21 Savage,12,30,21,38,2019-05-25
3138,Good As You,Kane Brown,39,42,12,39,2019-05-25
3139,When The Party's Over,Billie Eilish,29,40,27,40,2019-05-25
3140,"Hey Look Ma, I Made It",Panic! At The Disco,41,59,5,41,2019-05-25
3141,Truth Hurts,Lizzo,42,50,2,42,2019-05-25
3142,Thotiana,Blueface,8,36,18,43,2019-05-25
3143,Be Alright,Dean Lewis,23,37,29,44,2019-05-25
3144,Eyes On You,Chase Rice,38,38,13,45,2019-05-25
3145,Drip Too Hard,Lil Baby & Gunna,4,41,35,46,2019-05-25
3146,Bury A Friend,Billie Eilish,14,46,16,47,2019-05-25
3147,Look What God Gave Her,Thomas Rhett,48,55,11,48,2019-05-25
3148,"Thank U, Next",Ariana Grande,1,48,28,49,2019-05-25
3149,Love Ain't,Eli Young Band,50,60,5,50,2019-05-25
3150,Triggered,Jhene Aiko,51,0,1,51,2019-05-25
3151,Murder On My Mind,YNW Melly,14,49,17,52,2019-05-25
3152,Rumor,Lee Brice,53,57,10,53,2019-05-25
3153,Walk Me Home,P!nk,49,58,11,54,2019-05-25
3154,Clout,Offset Featuring Cardi B,39,44,6,55,2019-05-25
3155,Close Friends,Lil Baby,28,54,29,56,2019-05-25
3156,Baby Shark,Pinkfong,32,62,20,57,2019-05-25
3157,Worth It,YK Osiris,52,52,13,58,2019-05-25
3158,Sanguine Paradise,Lil Uzi Vert,28,47,5,59,2019-05-25
3159,Who Do You Love,The Chainsmokers Featuring 5 Seconds Of Summer,52,53,14,60,2019-05-25
3160,Boy With Luv,BTS Featuring Halsey,8,51,5,61,2019-05-25
3161,Put A Date On It,Yo Gotti Featuring Lil Baby,46,80,16,62,2019-05-25
3162,Miss Me More,Kelsea Ballerini,59,64,15,63,2019-05-25
3163,Cool,Jonas Brothers,27,70,6,64,2019-05-25
3164,Big Ole Freak,Megan Thee Stallion,65,65,6,65,2019-05-25
3165,Don't Call Me Up,Mabel,66,69,8,66,2019-05-25
3166,Racks In The Middle,Nipsey Hussle Featuring Roddy Ricch & Hit-Boy,26,73,7,67,2019-05-25
3167,Night Shift,Jon Pardi,56,56,13,68,2019-05-25
3168,Earth,Lil Dicky,17,61,4,69,2019-05-25
3169,GIRL,Maren Morris,61,72,11,70,2019-05-25
3170,Before I Let Go,Beyonce,65,67,4,71,2019-05-25
3171,Girls Need Love,Summer Walker X Drake,37,75,12,72,2019-05-25
3172,Soltera,"Lunay, Daddy Yankee & Bad Bunny",73,0,1,73,2019-05-25
3173,Here Tonight,Brett Young,42,66,19,74,2019-05-25
3174,Robbery,Juice WRLD,27,74,13,75,2019-05-25
3175,Calma,Pedro Capo X Farruko,71,77,9,76,2019-05-25
3176,Talk You Out Of It,Florida Georgia Line,77,79,13,77,2019-05-25
3177,Love Someone,Brett Eldredge,78,89,4,78,2019-05-25
3178,Go Loko,"YG, Tyga & Jon Z",71,71,2,79,2019-05-25
3179,Make It Sweet,Old Dominion,56,76,20,80,2019-05-25
3180,Shotta Flow,NLE Choppa,81,82,4,81,2019-05-25
3181,Mixed Personalities,YNW Melly Featuring Kanye West,42,78,17,82,2019-05-25
3182,Knockin' Boots,Luke Bryan,83,84,3,83,2019-05-25
3183,24/7,Meek Mill Featuring Ella Mai,54,85,6,84,2019-05-25
3184,Someone You Loved,Lewis Capaldi,85,0,1,85,2019-05-25
3185,On My Way To You,Cody Johnson,84,87,12,86,2019-05-25
3186,Baila Baila Baila,Ozuna x Daddy Yankee x J Balvin x Farruko x Anuel AA,69,88,3,87,2019-05-25
3187,Shot Clock,Ella Mai,62,92,16,88,2019-05-25
3188,I'm So Tired...,Lauv & Troye Sivan,81,81,6,89,2019-05-25
3189,Ocean Eyes,Billie Eilish,84,93,13,90,2019-05-25
3190,Paradise,Bazzi,91,98,2,91,2019-05-25
3191,You Should See Me In A Crown,Billie Eilish,41,86,8,92,2019-05-25
3192,All To Myself,Dan + Shay,93,96,2,93,2019-05-25
3193,SOS,Avicii Featuring Aloe Blacc,68,0,4,94,2019-05-25
3194,Te Robare,Nicky Jam X Ozuna,95,0,1,95,2019-05-25
3195,Wish You Were Gay,Billie Eilish,31,94,11,96,2019-05-25
3196,That's A Rack,Lil Uzi Vert,76,83,5,97,2019-05-25
3197,Rule The World,2 Chainz Featuring Ariana Grande,94,0,2,98,2019-05-25
3198,Die Young,Roddy Ricch,99,99,2,99,2019-05-25
3199,Juice,Lizzo,100,0,1,100,2019-05-25
3000,Old Town Road,Lil Nas X Featuring Billy Ray Cyrus,1,1,12,1,2019-06-01
3001,I Don't Care,Ed Sheeran & Justin Bieber,2,2,2,2,2019-06-01
3002,Bad Guy,Billie Eilish,3,4,8,3,2019-06-01
3003,Sucker,Jonas Brothers,1,3,12,4,2019-06-01
3004,Talk,Khalid,5,9,15,5,2019-06-01
3005,Wow.,Post Malone,2,5,22,6,2019-06-01
3006,Sunflower (Spider-Man: Into The Spider-Verse),Post Malone & Swae Lee,1,6,31,7,2019-06-01
3007,Dancing With A Stranger,Sam Smith & Normani,7,7,19,8,2019-06-01
3008,ME!,Taylor Swift Featuring Brendon Urie,2,8,5,9,2019-06-01
3009,Sweet But Psycho,Ava Max,10,12,23,10,2019-06-01
3010,Without Me,Halsey,1,10,33,11,2019-06-01
3011,7 Rings,Ariana Grande,1,11,18,12,2019-06-01
3012,EARFQUAKE,"Tyler, The Creator",13,0,1,13,2019-06-01
3013,Suge,DaBaby,14,16,8,14,2019-06-01
3014,Nightmare,Halsey,15,0,1,15,2019-06-01
3015,If I Can't Have You,Shawn Mendes,2,13,3,16,2019-06-01
3016,Middle Child,J. Cole,4,14,18,17,2019-06-01
3017,Happier,Marshmello & Bastille,2,17,40,18,2019-06-01
3018,Wish Wish,DJ Khaled Featuring Cardi B & 21 Savage,19,0,1,19,2019-06-01
3019,"Break Up With Your Girlfriend, I'm Bored",Ariana Grande,2,15,15,20,2019-06-01
3020,Higher,DJ Khaled Featuring Nipsey Hussle & John Legend,21,0,1,21,2019-06-01
3021,High Hopes,Panic! At The Disco,4,20,42,22,2019-06-01
3022,Going Bad,Meek Mill Featuring Drake,6,18,25,23,2019-06-01
3023,God's Country,Blake Shelton,24,24,8,24,2019-06-01
3024,Eastside,"benny blanco, Halsey & Khalid",9,19,45,25,2019-06-01
3025,Whiskey Glasses,Morgan Wallen,25,25,12,26,2019-06-01
3026,Con Calma,Daddy Yankee & Katy Perry Featuring Snow,27,30,16,27,2019-06-01
3027,Pure Water,Mustard & Migos,23,26,17,28,2019-06-01
3028,Look Back At It,A Boogie Wit da Hoodie,27,28,24,29,2019-06-01
3029,Better,Khalid,8,23,36,30,2019-06-01
3030,Pop Out,Polo G Featuring Lil Tjay,31,34,9,31,2019-06-01
3031,Sicko Mode,Travis Scott,1,31,42,32,2019-06-01
3032,Please Me,Cardi B & Bruno Mars,3,27,14,33,2019-06-01
3033,Act Up,City Girls,29,33,12,34,2019-06-01
3034,Girls Like You,Maroon 5 Featuring Cardi B,1,32,52,35,2019-06-01
3035,Shallow,Lady Gaga & Bradley Cooper,1,22,34,36,2019-06-01
3036,Good As You,Kane Brown,37,39,13,37,2019-06-01
3037,Truth Hurts,Lizzo,38,42,3,38,2019-06-01
3038,Envy Me,Calboy,31,35,23,39,2019-06-01
3039,When The Party's Over,Billie Eilish,29,40,28,40,2019-06-01
3040,Beer Never Broke My Heart,Luke Combs,29,29,3,41,2019-06-01
3041,Beautiful Crazy,Luke Combs,21,36,28,42,2019-06-01
3042,Just Us,DJ Khaled Featuring SZA,43,0,1,43,2019-06-01
3043,You Stay,"DJ Khaled Featuring Meek Mill, J Balvin, Lil Baby & Jeremih",44,0,1,44,2019-06-01
3044,Rumor,Lee Brice,45,53,11,45,2019-06-01
3045,A Lot,21 Savage,12,38,22,46,2019-06-01
3046,"Hey Look Ma, I Made It",Panic! At The Disco,41,41,6,47,2019-06-01
3047,Here With Me,Marshmello Featuring CHVRCHES,31,37,11,48,2019-06-01
3048,Look What God Gave Her,Thomas Rhett,48,48,12,49,2019-06-01
3049,Thotiana,Blueface,8,43,19,50,2019-06-01
3050,I Think,"Tyler, The Creator",51,0,1,51,2019-06-01
3051,Celebrate,DJ Khaled Featuring Travis Scott & Post Malone,52,0,1,52,2019-06-01
3052,Homicide,Logic Featuring Eminem,5,21,3,53,2019-06-01
3053,Eyes On You,Chase Rice,38,45,14,54,2019-06-01
3054,Bury A Friend,Billie Eilish,14,47,17,55,2019-06-01
3055,Clout,Offset Featuring Cardi B,39,55,7,56,2019-06-01
3056,Jealous,"DJ Khaled Featuring Chris Brown, Lil Wayne & Big Sean",57,0,1,57,2019-06-01
3057,Walk Me Home,P!nk,49,54,12,58,2019-06-01
3058,Close Friends,Lil Baby,28,56,30,59,2019-06-01
3059,Miss Me More,Kelsea Ballerini,59,63,16,60,2019-06-01
3060,Murder On My Mind,YNW Melly,14,52,18,61,2019-06-01
3061,Worth It,YK Osiris,52,58,14,62,2019-06-01
3062,Sanguine Paradise,Lil Uzi Vert,28,59,6,63,2019-06-01
3063,Put A Date On It,Yo Gotti Featuring Lil Baby,46,62,17,64,2019-06-01
3064,Running Out Of Time,"Tyler, The Creator",65,0,1,65,2019-06-01
3065,Love Ain't,Eli Young Band,50,50,6,66,2019-06-01
3066,Igor's Theme,"Tyler, The Creator",67,0,1,67,2019-06-01
3067,Cool,Jonas Brothers,27,64,7,68,2019-06-01
3068,GIRL,Maren Morris,61,70,12,69,2019-06-01
3069,New Magic Wand,"Tyler, The Creator",70,0,1,70,2019-06-01
3070,Boy With Luv,BTS Featuring Halsey,8,61,6,71,2019-06-01
3071,Big Ole Freak,Megan Thee Stallion,65,65,7,72,2019-06-01
3072,Who Do You Love,The Chainsmokers Featuring 5 Seconds Of Summer,52,60,15,73,2019-06-01
3073,A Boy Is A Gun,"Tyler, The Creator",74,0,1,74,2019-06-01
3074,Racks In The Middle,Nipsey Hussle Featuring Roddy Ricch & Hit-Boy,26,67,8,75,2019-06-01
3075,Soltera,"Lunay, Daddy Yankee & Bad Bunny",73,73,2,76,2019-06-01
3076,Before I Let Go,Beyonce,65,71,5,77,2019-06-01
3077,Earth,Lil Dicky,17,69,5,78,2019-06-01
3078,Don't Call Me Up,Mabel,66,66,9,79,2019-06-01
3079,Someone You Loved,Lewis Capaldi,80,85,2,80,2019-06-01
3080,Knockin' Boots,Luke Bryan,81,83,4,81,2019-06-01
3081,Girls Need Love,Summer Walker X Drake,37,72,13,82,2019-06-01
3082,Love Someone,Brett Eldredge,78,78,5,83,2019-06-01
3083,Robbery,Juice WRLD,27,75,14,84,2019-06-01
3084,What's Good,"Tyler, The Creator",85,0,1,85,2019-06-01
3085,What If I Never Get Over You,Lady Antebellum,86,0,1,86,2019-06-01
3086,Shotta Flow,NLE Choppa,81,81,5,87,2019-06-01
3087,Puppet,"Tyler, The Creator",88,0,1,88,2019-06-01
3088,Talk You Out Of It,Florida Georgia Line,77,77,14,89,2019-06-01
3089,Night Shift,Jon Pardi,56,68,14,90,2019-06-01
3090,Weather The Storm,DJ Khaled Featuring Meek Mill & Lil Baby,91,0,1,91,2019-06-01
3091,Go Loko,"YG, Tyga & Jon Z",71,79,3,92,2019-06-01
3092,All To Myself,Dan + Shay,93,93,3,93,2019-06-01
3093,Triggered,Jhene Aiko,51,51,2,94,2019-06-01
3094,On My Way To You,Cody Johnson,84,86,13,95,2019-06-01
3095,Calma,Pedro Capo X Farruko,71,76,10,96,2019-06-01
3096,24/7,Meek Mill Featuring Ella Mai,54,84,7,97,2019-06-01
3097,Here Tonight,Brett Young,42,74,20,98,2019-06-01
3098,Baila Baila Baila,Ozuna x Daddy Yankee x J Balvin x Farruko x Anuel AA,69,87,4,99,2019-06-01
3099,Te Robare,Nicky Jam X Ozuna,95,95,2,100,2019-06-01
2900,Old Town Road,Lil Nas X Featuring Billy Ray Cyrus,1,1,13,1,2019-06-08
2901,Bad Guy,Billie Eilish,2,3,9,2,2019-06-08
2902,Talk,Khalid,3,5,16,3,2019-06-08
2903,I Don't Care,Ed Sheeran & Justin Bieber,2,2,3,4,2019-06-08
2904,Sucker,Jonas Brothers,1,4,13,5,2019-06-08
2905,Sunflower (Spider-Man: Into The Spider-Verse),Post Malone & Swae Lee,1,7,32,6,2019-06-08
2906,Wow.,Post Malone,2,6,23,7,2019-06-08
2907,Dancing With A Stranger,Sam Smith & Normani,7,8,20,8,2019-06-08
2908,Suge,DaBaby,9,14,9,9,2019-06-08
2909,Sweet But Psycho,Ava Max,10,10,24,10,2019-06-08
2910,ME!,Taylor Swift Featuring Brendon Urie,2,9,6,11,2019-06-08
2911,The London,"Young Thug, J. Cole & Travis Scott",12,0,1,12,2019-06-08
2912,Without Me,Halsey,1,11,34,13,2019-06-08
2913,7 Rings,Ariana Grande,1,12,19,14,2019-06-08
2914,If I Can't Have You,Shawn Mendes,2,16,4,15,2019-06-08
2915,Happier,Marshmello & Bastille,2,18,41,16,2019-06-08
2916,Whiskey Glasses,Morgan Wallen,17,26,13,17,2019-06-08
2917,Middle Child,J. Cole,4,17,19,18,2019-06-08
2918,High Hopes,Panic! At The Disco,4,22,43,19,2019-06-08
2919,God's Country,Blake Shelton,20,24,9,20,2019-06-08
2920,EARFQUAKE,"Tyler, The Creator",13,13,2,21,2019-06-08
2921,Con Calma,Daddy Yankee & Katy Perry Featuring Snow,22,27,17,22,2019-06-08
2922,Going Bad,Meek Mill Featuring Drake,6,23,26,23,2019-06-08
2923,Eastside,"benny blanco, Halsey & Khalid",9,25,46,24,2019-06-08
2924,"Break Up With Your Girlfriend, I'm Bored",Ariana Grande,2,20,16,25,2019-06-08
2925,Truth Hurts,Lizzo,26,38,4,26,2019-06-08
2926,Pop Out,Polo G Featuring Lil Tjay,27,31,10,27,2019-06-08
2927,Look Back At It,A Boogie Wit da Hoodie,27,29,25,28,2019-06-08
2928,Nightmare,Halsey,15,15,2,29,2019-06-08
2929,Pure Water,Mustard & Migos,23,28,18,30,2019-06-08
2930,Act Up,City Girls,29,34,13,31,2019-06-08
2931,Sicko Mode,Travis Scott,1,32,43,32,2019-06-08
2932,Better,Khalid,8,30,37,33,2019-06-08
2933,Cross Me,Ed Sheeran Featuring Chance The Rapper & PnB Rock,34,0,1,34,2019-06-08
2934,Please Me,Cardi B & Bruno Mars,3,33,15,35,2019-06-08
2935,Good As You,Kane Brown,36,37,14,36,2019-06-08
2936,Shallow,Lady Gaga & Bradley Cooper,1,36,35,37,2019-06-08
2937,Envy Me,Calboy,31,39,24,38,2019-06-08
2938,Beer Never Broke My Heart,Luke Combs,29,41,4,39,2019-06-08
2939,"Hey Look Ma, I Made It",Panic! At The Disco,40,47,7,40,2019-06-08
2940,Rumor,Lee Brice,41,45,12,41,2019-06-08
2941,When The Party's Over,Billie Eilish,29,40,29,42,2019-06-08
2942,Wish Wish,DJ Khaled Featuring Cardi B & 21 Savage,19,19,2,43,2019-06-08
2943,Look What God Gave Her,Thomas Rhett,44,49,13,44,2019-06-08
2944,Beautiful Crazy,Luke Combs,21,42,29,45,2019-06-08
2945,Speechless,Dan + Shay,24,0,23,46,2019-06-08
2946,Close Friends,Lil Baby,28,59,31,47,2019-06-08
2947,Easier,5 Seconds Of Summer,48,0,1,48,2019-06-08
2948,A Lot,21 Savage,12,46,23,49,2019-06-08
2949,Thotiana,Blueface,8,50,20,50,2019-06-08
2950,Bury A Friend,Billie Eilish,14,55,18,51,2019-06-08
2951,Miss Me More,Kelsea Ballerini,52,60,17,52,2019-06-08
2952,Go Loko,"YG, Tyga & Jon Z",53,92,4,53,2019-06-08
2953,Eyes On You,Chase Rice,38,54,15,54,2019-06-08
2954,Walk Me Home,P!nk,49,58,13,55,2019-06-08
2955,Here With Me,Marshmello Featuring CHVRCHES,31,48,12,56,2019-06-08
2956,Clout,Offset Featuring Cardi B,39,56,8,57,2019-06-08
2957,Worth It,YK Osiris,52,62,15,58,2019-06-08
2958,Isis,Joyner Lucas Featuring Logic,59,0,1,59,2019-06-08
2959,Just Us,DJ Khaled Featuring SZA,43,43,2,60,2019-06-08
