,artist,song,weeks_on_chart,peak_rank
1112,Taylor Swift,Christmas Tree Farm,1,59
1113,Taylor Swift,Closure,1,82
1114,Taylor Swift,Cornelia Street,1,57
1115,Taylor Swift,Cowboy Like Me,1,71
1116,Taylor Swift,Cruel Summer,2,29
1117,Taylor Swift,Daylight,1,89
1118,Taylor Swift,Death By A Thousand Cuts,1,67
1119,Taylor Swift,Dorothea,1,67
1120,Taylor Swift,Epiphany,1,57
1121,Taylor Swift,False God,1,77
1122,Taylor Swift,Gold Rush,1,40
1123,Taylor Swift,Happiness,1,52
1124,Taylor Swift,Hoax,1,71
1125,Taylor Swift,I Forgot That You Existed,2,28
1126,Taylor Swift,I Think He Knows,1,51
1127,Taylor Swift,Illicit Affairs,1,44
1128,Taylor Swift,Invisible String,2,37
1129,Taylor Swift,It's Nice To Have A Friend,1,92
1130,Taylor Swift,Ivy,1,61
1131,Taylor Swift,London Boy,1,62
1132,Taylor Swift,Long Story Short,1,68
1133,Taylor Swift,Lover,22,10
1134,Taylor Swift,Mad Woman,1,47
1135,Taylor Swift,Marjorie,1,75
1136,Taylor Swift,Mirrorball,2,26
1137,Taylor Swift,Miss Americana & The Heartbreak Prince,1,49
1138,Taylor Swift,My Tears Ricochet,2,16
1139,Taylor Swift,Only The Young,1,50
1140,Taylor Swift,Paper Rings,1,45
1141,Taylor Swift,Peace,1,58
1142,Taylor Swift,Seven,2,35
1143,Taylor Swift,The 1,6,4
1144,Taylor Swift,The Archer,3,38
1145,Taylor Swift,The Last Great American Dynasty,2,13
1146,Taylor Swift,The Man,8,23
1147,Taylor Swift,This Is Me Trying,1,39
1148,Taylor Swift,Tolerate It,1,45
1149,Taylor Swift,Willow,1,1
1150,Taylor Swift,You Need To Calm Down,21,2
1151,Taylor Swift Featuring Bon Iver,Evermore,1,57
1152,Taylor Swift Featuring Bon Iver,Exile,5,6
1153,Taylor Swift Featuring Brendon Urie,ME!,20,2
1154,Taylor Swift Featuring Dixie Chicks,Soon You'll Get Better,1,63
1155,Taylor Swift Featuring HAIM,"No Body, No Crime",1,34
1156,Taylor Swift Featuring The National,Coney Island,1,63
1157,The Chainsmokers & Bebe Rexha,Call You Mine,14,56
1158,The Chainsmokers & ILLENIUM Featuring Lennon Stella,Takeaway,2,69
1159,The Chainsmokers Featuring 5 Seconds Of Summer,Who Do You Love,16,52
1160,The Chainsmokers Featuring Kelsea Ballerini,This Feeling,20,50
1161,The Kid LAROI,Always Do,1,83
1162,The Kid LAROI,So Done,7,59
1163,The Kid LAROI,Without You,2,63
1164,The Kid LAROI & Juice WRLD,Reminds Me Of You,1,89
1165,The Kid LAROI Featuring Machine Gun Kelly,"Fuck You, Goodbye",1,99
1166,The Kid LAROI Featuring YoungBoy Never Brok Again & Internet Money,Tragic,1,76
1167,The Ronettes,Sleigh Ride,10,19
1168,The Weeknd,After Hours,7,20
1169,The Weeknd,Alone Again,1,21
1170,The Weeknd,Blinding Lights,55,1
1171,The Weeknd,Escape From LA,1,39
1172,The Weeknd,Faith,1,45
1173,The Weeknd,Hardest To Love,1,25
1174,The Weeknd,Heartless,23,1
1175,The Weeknd,In Your Eyes,15,16
1176,The Weeknd,Repeat After Me (Interlude),1,69
1177,The Weeknd,Save Your Tears,2,41
1178,The Weeknd,Scared To Live,1,24
1179,The Weeknd,Snowchild,1,32
1180,The Weeknd,Too Late,1,28
1181,The Weeknd,Until I Bleed Out,1,80
1182,Thomas Rhett,Look What God Gave Her,20,32
1183,Thomas Rhett,Remember You Young,18,53
1184,Thomas Rhett,Sixteen,15,42
1185,Thomas Rhett,What's Your Country Song,1,85
1186,Thomas Rhett Featuring Jon Pardi,Beer Can't Fix,18,36
1187,"Thomas Rhett Featuring Reba McEntire, Hillary Scott, Chris Tomlin & Keith Urban",Be A Light,22,42
1188,Thurl Ravenscroft,"You're A Mean One, Mr. Grinch",1,49
1189,Tim McGraw,I Called Mama,12,53
1190,Tones And I,Dance Monkey,36,4
1191,Tool,Fear Inoculum,1,93
1192,Topic & A7S,Breaking Me,13,53
1193,Tory Lanez,Broke In A Minute,2,64
1194,Tory Lanez,Money Over Fallouts,1,97
1195,Tory Lanez,Stupid Again,1,54
1196,Tory Lanez & Rich The Kid,Talk To Me,16,43
1197,Tory Lanez & T-Pain,Jerry Sprunger,10,44
1198,Tory Lanez Featuring Chris Brown,The Take,1,66
1199,Tory Lanez Featuring Snoop Dogg,Beauty In The Benz,1,87
1200,Travis Denning,After A Few,15,31
1201,Travis Scott,Goosebumps,35,32
1202,Travis Scott,HIGHEST IN THE ROOM,22,1
1203,Travis Scott,Sicko Mode,52,1
1204,Travis Scott,The Plan,1,74
1205,Travis Scott,Wake Up,7,30
1206,Travis Scott,Yosemite,18,25
1207,Travis Scott Featuring Young Thug & M.I.A.,Franchise,9,1
1208,Trevor Daniel,Falling,38,17
1209,Trevor Daniel x Selena Gomez,Past Life,5,77
1210,Trey Lewis,Dicked Down In Dallas,2,65
1211,Trippie Redd,Love Me More,2,79
1212,Trippie Redd,Snake Skin,1,87
1213,Trippie Redd,Under Enemy Arms,1,94
1214,Trippie Redd,Weeeeee,1,80
1215,Trippie Redd,Who Needs Love,2,58
1216,Trippie Redd Featuring DaBaby,Death,7,59
1217,Trippie Redd Featuring Juice WRLD & YNW Melly,6 Kiss,4,60
1218,Trippie Redd Featuring Lil Baby & Lil Duke,Mac 10,2,64
1219,Trippie Redd Featuring YoungBoy Never Broke Again,Hate Me,1,84
1220,Ty Dolla $ign Featuring Nicki Minaj,Expensive,1,83
1221,Ty Dolla $ign Featuring Post Malone,Spicy,1,53
1222,Tyga & Nicki Minaj,Dip,8,63
1223,Tyla Yaweh & Post Malone,Tommy Lee,2,65
1224,"Tyler, The Creator",A Boy Is A Gun,1,74
1225,"Tyler, The Creator",EARFQUAKE,15,13
1226,"Tyler, The Creator",I Think,1,51
1227,"Tyler, The Creator",Igor's Theme,1,67
1228,"Tyler, The Creator",New Magic Wand,1,70
1229,"Tyler, The Creator",Puppet,1,88
1230,"Tyler, The Creator",Running Out Of Time,1,65
1231,"Tyler, The Creator",What's Good,1,85
1232,VEDO,You Got It,4,87
1233,Wale Featuring Jeremih,On Chill,23,22
1234,Wham!,Last Christmas,18,11
1235,WhoHeem,Lets Link,3,86
1236,Why Don't We,Fallin',1,37
1237,XXXTENTACION,BAD!,11,16
1238,XXXTENTACION,Sauce!,1,89
1239,XXXTENTACION,whoa (mind in awe),3,37
1240,XXXTENTACION Featuring PnB Rock & Trippie Redd,Bad Vibes Forever,1,85
1241,XXXTENTACION x Lil Pump Featuring Maluma & Swae Lee,Arms Around You,17,28
1242,Y2K & bbno$,Lalala,21,55
1243,YFN Lucci,Wet. (She Got That...) ,1,92
1244,YG,Stop Snitching,1,98
1245,"YG, Tyga & Jon Z",Go Loko,19,49
1246,YK Osiris,Worth It,25,48
1247,YNW Melly,Murder On My Mind,20,14
1248,YNW Melly & 9lokknine,223's,19,34
1249,YNW Melly & Juice WRLD,Suicidal,20,20
1250,YNW Melly Featuring Kanye West,Mixed Personalities,18,42
1251,"Yella Beezy, Gucci Mane & Quavo",Bacc At It Again,6,78
1252,Yo Gotti Featuring Lil Baby,Put A Date On It,20,46
1253,Young T & Bugsey Featuring Headie One,Don't Rush,14,56
1254,Young Thug,Just How It Is,1,60
1255,Young Thug,Light It Up,1,82
1256,Young Thug,Lil Baby,1,84
1257,Young Thug Featuring Future,Sup Mate,1,70
1258,Young Thug Featuring Gunna,Hot,26,11
1259,Young Thug Featuring Gunna,Surf,1,61
1260,Young Thug Featuring Lil Baby,Bad Bad Bad,9,32
1261,Young Thug Featuring Lil Uzi Vert,What's The Move,1,55
1262,Young Thug Featuring Machine Gun Kelly,Ecstasy,1,92
1263,"Young Thug, J. Cole & Travis Scott",The London,20,12
1264,YoungBoy Never Broke Again,Ain't Easy,1,83
1265,YoungBoy Never Broke Again,All In,3,67
1266,YoungBoy Never Broke Again,Bad Bad,1,59
1267,YoungBoy Never Broke Again,Bat Man,1,89
1268,YoungBoy Never Broke Again,Carter Son,2,62
1269,YoungBoy Never Broke Again,Cross Roads,1,76
1270,YoungBoy Never Broke Again,Dead Trollz,1,72
1271,YoungBoy Never Broke Again,Diamonds,1,86
1272,YoungBoy Never Broke Again,Dirty Iyanna,1,67
1273,YoungBoy Never Broke Again,Dirty Stick,1,98
1274,YoungBoy Never Broke Again,Drug Addiction,2,44
1275,YoungBoy Never Broke Again,Fine By Time,1,58
1276,YoungBoy Never Broke Again,Hot Now,5,66
1277,YoungBoy Never Broke Again,In Control,2,73
1278,YoungBoy Never Broke Again,Kacey Talk,14,50
1279,YoungBoy Never Broke Again,Knocked Off,1,60
1280,YoungBoy Never Broke Again,Lil Top,2,28
1281,YoungBoy Never Broke Again,Lonely Child,7,44
1282,YoungBoy Never Broke Again,Long RD,1,85
1283,YoungBoy Never Broke Again,Make No Sense,20,57
1284,YoungBoy Never Broke Again,RIP Lil Phat,1,80
1285,YoungBoy Never Broke Again,Red Eye,1,47
1286,YoungBoy Never Broke Again,Rich As Hell,2,79
1287,YoungBoy Never Broke Again,Right Foot Creep,1,88
1288,YoungBoy Never Broke Again,Rough Ryder,1,92
1289,YoungBoy Never Broke Again,Self Control,11,50
1290,YoungBoy Never Broke Again,The Last Backyard...,1,81
1291,YoungBoy Never Broke Again,Time I'm On,1,79
1292,YoungBoy Never Broke Again,Valuable Pain,2,87
1293,YoungBoy Never Broke Again Featuring DaBaby,Thug Of Spades,1,99
1294,YoungBoy Never Broke Again Featuring Lil Baby,One Shot,1,94
1295,YoungBoy Never Broke Again Featuring Lil Wayne,My Window,2,35
1296,YoungBoy Never Broke Again Featuring Sherhonda Gaulden,Bout My Business,1,90
1297,Yung Bleu Featuring Drake,You're Mines Still,2,52
1298,Zac Brown Band,The Man Who Loves You The Most,1,96
1299,Zara Larsson,Ruin My Life,7,76
1300,Zayn,Better,1,89
1301,Zedd & Katy Perry,365,1,86
1302,benny blanco & Juice WRLD Featuring Brendon Urie,Roses,6,85
1303,"benny blanco, Halsey & Khalid",Eastside,52,9
1304,"benny blanco, Tainy, Selena Gomez & J Balvin",I Can't Get Enough,5,66
1305,blackbear,Hot Girl Bummer,42,11
1306,for KING & COUNTRY,God Only Knows,1,94
1307,j-hope Featuring Becky G.,Chicken Noodle Soup,1,81
1308,twenty one pilots,Level Of Concern,11,23
