,artist,song,weeks_on_chart,peak_rank
210,Bryson Tiller,Always Forever,1,83
211,Bryson Tiller,Years Go By,1,84
212,Bryson Tiller Featuring Drake,Outta Time,1,48
213,Burl Ives,A Holly Jolly Christmas,18,4
214,CJ,Whoopty,6,51
215,Calboy,Envy Me,27,31
216,Calvin Harris X The Weeknd,Over Now,5,38
217,Camila Cabello,Consequences,12,51
218,Camila Cabello,First Man,1,94
219,Camila Cabello,Liar,11,52
220,Camila Cabello,Shameless,3,60
221,Camila Cabello Featuring DaBaby,My Oh My,27,12
222,Cardi B,Money,26,13
223,Cardi B,Press,16,16
224,Cardi B & Bruno Mars,Please Me,20,3
225,Cardi B Featuring Megan Thee Stallion,WAP,19,1
226,"Cardi B, Bad Bunny & J Balvin",I Like It,51,1
227,Carly Pearce & Lee Brice,I Hope You're Happy Now,25,27
228,Carrie Underwood,Drinking Alone,7,74
229,Carrie Underwood,Favorite Time Of Year,3,80
230,Carrie Underwood,Love Wins,10,83
231,Carrie Underwood,Silent Night,1,100
232,Carrie Underwood,Southbound,13,64
233,Carrie Underwood & John Legend,Hallelujah,2,84
234,Chance The Rapper Featuring Death Cab For Cutie,Do You Remember,1,95
235,Chance The Rapper Featuring John Legend,All Day Long,1,94
236,Chance The Rapper Featuring MadeinTYO & DaBaby,Hot Shower,8,58
237,Chase Rice,Eyes On You,20,38
238,Chase Rice,Lonely If You Are,6,91
239,Chloe X Halle,Do It,11,63
240,Chris Brown,Undecided,12,35
241,Chris Brown & Young Thug,Go Crazy,32,9
242,Chris Brown Featuring Drake,No Guidance,46,5
243,Chris Brown Featuring Gunna,Heat,20,36
244,Chris Brown Featuring Justin Bieber & Ink,Don't Check On Me,1,67
245,Chris Janson,Done,12,41
246,Chris Janson,Good Vibes,13,48
247,Chris Lane,"Big, Big Plans",11,42
248,Chris Lane,I Don't Know About You,20,39
249,Chris Stapleton,Millionaire,17,47
250,Chris Stapleton,Starting Over,16,25
251,Chris Young,Raised On Country,13,54
252,Chuck Berry,Run Rudolph Run,7,29
253,City Girls,Act Up,21,26
254,City Girls Featuring Cardi B,Twerk,13,29
255,Clairo,Sofia,1,98
256,Cody Johnson,On My Way To You,16,78
257,Cole Swindell,Love You Too Late,14,49
258,Conan Gray,Heather,15,46
259,DJ Chose Featuring BeatKing,Thick,1,98
260,DJ Khaled Featuring Cardi B & 21 Savage,Wish Wish,15,19
261,"DJ Khaled Featuring Chris Brown, Lil Wayne & Big Sean",Jealous,1,57
262,DJ Khaled Featuring Drake,Greece,15,8
263,DJ Khaled Featuring Drake,Popstar,19,3
264,DJ Khaled Featuring Meek Mill & Lil Baby,Weather The Storm,1,91
265,"DJ Khaled Featuring Meek Mill, J Balvin, Lil Baby & Jeremih",You Stay,4,44
266,DJ Khaled Featuring Nipsey Hussle & John Legend,Higher,2,21
267,DJ Khaled Featuring SZA,Just Us,13,43
268,DJ Khaled Featuring Travis Scott & Post Malone,Celebrate,1,52
269,"DJ Snake Featuring Selena Gomez, Ozuna & Cardi B",Taki Taki,26,11
270,"DJ Snake, J. Balvin & Tyga",Loco Contigo,2,95
271,DaBaby,BLAME IT ON BABY,1,64
272,DaBaby,BOP,30,11
273,DaBaby,CAN'T STOP,1,63
274,DaBaby,CHAMPION,1,85
275,DaBaby,Find My Way,5,22
276,DaBaby,INTRO,6,13
277,DaBaby,OFF THE RIP,1,47
278,DaBaby,PROLLY HEARD,1,73
279,DaBaby,Practice,5,86
280,DaBaby,SAD SHIT,1,69
281,DaBaby,Suge,37,7
282,DaBaby,TALK ABOUT IT,1,74
283,DaBaby,There He Go,1,89
284,DaBaby,VIBEZ,20,21
285,DaBaby,XXL,1,69
286,DaBaby & Nicki Minaj,iPHONE,1,43
287,DaBaby Featuring A Boogie Wit da Hoodie & London On Da Track,DROP,1,71
288,DaBaby Featuring Ashanti & Megan Thee Stallion,NASTY,2,50
