,sentiment_subjectivity
241,0.7194444444444446
242,0.4480952380952382
243,0.3642575509596787
244,0.5142857142857142
245,0.4713435374149659
246,0.4016507936507937
247,0.7555555555555556
248,0.7202222222222224
249,0.4398428731762062
250,0.388095238095238
251,0.5472222222222222
252,0.4016519010705059
253,0.5948484848484848
254,0.4262994086523497
255,0.5373508375682287
256,0.7421933621933625
257,0.5465811965811966
258,0.5047385620915033
259,0.6261316872427988
260,0.3154258886653253
262,0.5636627906976746
263,0.4558776004088504
264,0.6165306122448979
265,0.4809778734778734
266,0.4091836734693878
267,0.5133333333333333
268,0.3804088504088505
269,0.6503325942350336
270,0.5380952380952383
271,0.6299242424242426
272,0.5179082491582494
273,0.4491423451100872
274,0.422677626606198
275,0.4581140350877192
276,0.5951228501228503
277,0.6466666666666665
278,0.4562824675324676
280,0.5823931623931623
281,0.5806857699262765
282,0.408597427476738
283,0.4285858585858586
284,0.5242592592592591
285,0.5686586360499405
286,0.5522875816993464
287,0.5854166666666667
288,0.4953301979227906
289,0.4840055529787672
290,0.4546296296296295
291,0.3922619047619048
292,0.4760467171717172
293,0.4123809523809524
294,0.6060643060643061
295,0.3664983164983165
296,0.5395363408521302
297,0.4906646825396826
299,0.5291005291005293
301,0.4400878442545108
302,0.4298148148148148
303,0.4958994708994709
304,0.6617772108843537
305,0.4417431972789115
306,0.4948106575963719
307,0.4802807486631015
308,0.506896551724138
309,0.5074708624708629
310,0.5741927437641724
311,0.4666666666666665
312,0.392337164750958
313,0.6858240891053388
314,0.530727023319616
315,0.487790291305916
316,0.3026785714285714
317,0.3825053418803419
318,0.4959459459459461
319,0.3830681818181818
320,0.1722222222222222
321,0.5316530612244897
322,0.4832835820895524
323,0.515984126984127
324,0.2043309771825396
326,0.2783970658970658
327,0.2540154950869236
328,0.4867998163452708
329,0.3532608695652174
330,0.4588888888888888
331,0.5485325031621326
332,0.4456103896103896
333,0.3443993506493507
334,0.3120833333333333
335,0.5486507936507936
336,0.55
337,0.5946428571428573
338,0.5626906318082787
339,0.4772849462365592
340,0.3309389140271495
342,0.6166666666666667
343,0.3873407544836116
345,0.615830115830116
346,0.7862103174603174
347,0.3647222222222223
349,0.5189814814814817
350,0.3623883928571428
351,0.4699852163087456
352,0.5121567175514545
353,0.3545454545454545
354,0.5518518518518518
355,0.714327485380117
356,0.5345779220779221
357,0.3008253968253969
358,0.5855357142857143
359,0.3345486111111111
360,0.6249060150375939
361,0.5364583333333334
362,0.665457294028722
363,0.5242279942279944
364,0.6124526959738226
365,0.4291666666666667
366,0.7466666666666667
367,0.5486111111111116
369,0.3861111111111112
370,0.5293010752688173
371,0.4976879910213245
372,0.5666666666666668
373,0.473611111111111
374,0.4502794080919081
375,0.4206018518518519
376,0.4795618411720106
378,0.2426190476190475
379,0.3826604554865425
380,0.5635964912280703
381,0.6277148664343787
382,0.4065789473684211
383,0.5713131313131312
384,0.6655555555555556
385,0.5946778711484594
386,0.4927083333333334
387,0.6459649122807017
388,0.5795977011494252
389,0.6214285714285713
390,0.4874485596707819
392,0.53343253968254
393,0.4796183721715638
394,0.7476608187134498
395,0.4716200466200467
396,0.4331261331261332
397,0.4645006432657036
398,0.5412379937770563
399,0.4229523122380266
400,0.6888888888888887
401,0.4441050903119868
402,0.4620344932844937
403,0.5002254689754689
404,0.4369658119658119
405,0.2960470085470085
406,0.6072666666666665
407,0.5038100157418339
408,0.4964930902430902
409,0.4855555555555556
410,0.6474099099099099
411,0.6027483164983171
412,0.2157894736842105
413,0.5597604617604618
414,0.4128019323671498
415,0.7000000000000001
416,0.4195484254307784
417,0.4602387794198139
418,0.3298611111111112
419,0.4520354645354644
420,0.5896308766679138
421,0.690785907859079
422,0.3326136363636364
423,0.2120391705069124
424,0.5364087301587301
425,0.3188271604938271
426,0.9392241379310344
427,0.5349994912494916
428,0.5148868312757203
429,0.5985714285714286
430,0.6749971067184183
431,0.5873319662793344
432,0.4890039447731756
433,0.1371031746031746
434,0.4975198412698414
435,0.6304761904761906
436,0.5619944029034938
437,0.4705449847310313
438,0.5507020757020756
439,0.5428298611111111
440,0.6270562770562778
441,0.105965909090909
442,0.4877358490566037
443,0.4293572984749455
444,0.5297955340328224
445,0.6333333333333334
446,0.6755731922398589
447,0.6352306547619048
448,0.5592640692640694
449,0.5398611111111112
450,0.5577595628415297
451,0.5048202614379085
452,0.5784600203717851
453,0.4657811885084611
454,0.3728703703703703
455,0.5075000000000001
456,0.5865384615384615
457,0.4689393939393939
458,0.663131313131313
459,0.4509803921568627
460,0.5509305886856907
461,0.6054722222222224
462,0.6325925925925926
463,0.7614163614163613
464,0.4739130434782609
465,0.54402095489052
466,0.5057057057057057
467,0.58739837398374
468,0.4503267973856208
469,0.4618258052220315
470,0.4823996265172736
471,0.8001831501831501
472,0.4735449735449735
473,0.5175285498814911
475,0.4347826086956521
476,0.4606227106227106
477,0.5756333943833943
478,0.5252871855813029
479,0.5059301030353662
480,0.5402858370943477
481,0.4723333333333333
482,0.595
483,0.5794444444444444
484,0.6520609318996415
