,desc_keywords
604,"{'song': 4, 'release': 2, 'voice': 2, 'elsa': 2, 'unknown': 1, 'cover': 1, 'soundtrack': 1, 'lead': 1, 'animate': 1, 'disney': 1, 'musical': 1, 'frozen': 1, 'ii': 1, 'american': 1, 'band': 1, 'panic': 1, 'disco': 1, 'album': 1, 'single': 1, 'week': 1, 'film': 1, 'november': 1, 'date': 1, 'movie': 1, 'sing': 1, 'idina': 1, 'menzel': 1, 'actress': 1, 'main': 1, 'character': 1, 'feature': 1, 'norwegian': 1, 'singer': 1, 'songwriter': 1, 'aurora': 1, 'accord': 1, 'billboard': 1, 'original': 1, 'conflicted': 1, 'debate': 1, 'adventure': 1, 'save': 1, 'kingdom': 1, 'arendelle': 1}"
605,"{'elsa': 6, 'mysterious': 3, 'voice': 3, 'ahtohallan': 2, 'memory': 2, 'origin': 2, 'mother': 2, 'iduna': 2, 'way': 1, 'glacial': 1, 'river': 1, 'ask': 1, 'hear': 1, 'film': 1, 'elsas': 1, 'journey': 1, 'quest': 1, 'answer': 1, 'power': 1, 'truth': 1, 'enchanted': 1, 'forest': 1, 'seal': 1, 'fellow': 1, 'spirit': 1, 'song': 1, 'discover': 1, 'purpose': 1, 'destiny': 1, 'assume': 1, 'role': 1, 'fifth': 1, 'spiritthe': 1, 'bridge': 1, 'magic': 1, 'nature': 1, 'reinforce': 1, 'idea': 1, 'calling': 1, 'remind': 1, 'find': 1, 'lullaby': 1, 'sing': 1, 'child': 1}"
606,"{'release': 5, 'video': 5, 'track': 4, 'abel': 4, 'heartless': 3, 'november': 3, 'mercedes': 3, 'music': 3, 'single': 2, 'studio': 2, 'album': 2, 'day': 2, 'benz': 2, 'song': 2, 'drive': 2, 'official': 2, 'blind': 1, 'lights': 1, 'second': 1, 'weeknds': 1, 'fourth': 1, 'hours': 1, 'follow': 1, 'record': 1, 'lead': 1, 'find': 1, 'constant': 1, 'state': 1, 'distraction': 1, 'relief': 1, 'presence': 1, 'significant': 1, 'sing': 1, 'tempo': 1, 'electropop': 1, 'instrumental': 1, 'feature': 1, 'large': 1, '80': 1, 'inspire': 1, 'synth': 1, 'synthwave': 1, 'drum': 1, 'similar': 1, 'sonic': 1, 'direction': 1, 'starboy': 1, 'announce': 1, 'trailer': 1, 'advertisement': 1, 'commercial': 1, 'debut': 1, 'minute': 1, 'center': 1, 'ad': 1, 'weeknd': 1, 'car': 1, 'play': 1, 'background': 1, 'leak': 1, 'acknowledge': 1, 'tweet': 1, 'confirm': 1, 'new': 1, 'tonight': 1, 'hq': 1, 'january': 1, 'continuation': 1, 'start': 1, 'stop': 1, 'manic': 1, 'run': 1, 'las': 1, 'vegas': 1, 'end': 1, 'continue': 1, 'tear': 1, 'city': 1, 'influence': 1, 'substance': 1, 'time': 1, 'strip': 1, 'club': 1, 'different': 1, 'luxury': 1, 'amg': 1, 'gt': 1}"
607,{}
608,"{'official': 2, 'don': 2, 'tolivers': 2, 'track': 2, 'idea': 1, 'serve': 1, 'single': 1, 'second': 1, 'project': 1, 'heaven': 1, 'hell': 1, 'reflect': 1, 'relationship': 1, 'girl': 1, 'like': 1, 'intent': 1, 'progress': 1, 'tease': 1, 'twitter': 1, 'account': 1, 'ninjas': 1, 'stream': 1, 'travis': 1, 'scott': 1, 'announce': 1, '29th': 1, 'song': 1, 'uplift': 1, 'lip': 1, 'sync': 1, 'dance': 1, 'video': 1, 'viral': 1, 'app': 1, 'tiktok': 1, 'https://www.youtube.com/watch?v=_x9ywui72uw': 1}"
609,"{'christmas': 3, 'release': 3, 'november': 3, 'song': 3, 'band': 2, 'day': 2, 'single': 1, 'jonas': 1, 'brothers': 1, 'instrumental': 1, 'consist': 1, 'bell': 1, 'upbeat': 1, 'drum': 1, 'repeat': 1, 'acoustic': 1, 'electric': 1, 'guitar': 1, 'pattern': 1, 'week': 1, 'reply': 1, 'fan': 1, 'page': 1, 'account': 1, 'tweet': 1, 'reveal': 1, 'artwork': 1, 'brother': 1, 'face': 1, 'announce': 1, 'title': 1, 'date': 1, 'lyric': 1, 'video': 1, 'publish': 1, 'youtube': 1, 'channel': 1, 'december': 1}"
610,{}
611,"{'song': 8, 'juice': 5, 'death': 4, 'day': 3, 'legend': 2, 'xxxtentacion': 2, 'lil': 2, 'wrld': 2, 'event': 2, 'talk': 2, 'new': 2, 'way': 2, 'life': 2, 'subject': 2, 'people': 2, 'u': 2, 'tribute': 1, 'late': 1, 'rapper': 1, 'peep': 1, 'response': 1, 'passing': 1, 'june': 1, 'preview': 1, 'instagram': 1, 'live': 1, 'drop': 1, 'timeline': 1, 'create': 1, 'entire': 1, 'analyze': 1, 'current': 1, 'state': 1, 'world': 1, 'perceive': 1, 'confusing': 1, 'dark': 1, 'unexpected': 1, 'xs': 1, 'resurface': 1, 'peeps': 1, 'november': 1, 'struggle': 1, 'idea': 1, 'question': 1, 'fame': 1, 'impact': 1, 'score': 1, 'big': 1, 'hit': 1, 'lucid': 1, 'dreams': 1, 'release': 1, 'adjust': 1, 'april': 1, 'discuss': 1, 'viewpoint': 1, 'interview': 1, 'york': 1, 'times': 1, 'scary': 1, 'think': 1, 'graveyardsdamn': 1, 'close': 1, 'eye': 1, 'dead': 1, 'alive': 1, 'interesting': 1, 'enigmai': 1, 'stuff': 1, 'scared': 1, 'touch': 1, 'right': 1, 'learn': 1, 'mistake': 1, 'cherish': 1, 'mini': 1, 'second': 1, 'gate': 1, 'hell': 1, 'meant': 1, 'sound': 1, 'eerie': 1, 'pass': 1, 'december': 1, '21st': 1, 'birthday': 1, 'appear': 1, 'predict': 1, 'lyric': 1, 'claim': 1, 'age': 1, 's': 1, 'clu': 1, 'ub': 1}"
612,"{'harry': 6, 'track': 5, 'video': 4, 'eroda': 4, 'cryptic': 3, 'adore': 2, 'feature': 2, 'release': 2, 'social': 2, 'medium': 2, 'image': 2, 'music': 2, 'post': 2, 'island': 2, 'single': 1, 'styles': 1, 'sophomore': 1, 'record': 1, 'fine': 1, 'line': 1, 'speak': 1, 'love': 1, 'passion': 1, 'significant': 1, 'extent': 1, 'thing': 1, 'lover': 1, 'song': 1, 'announce': 1, 'link': 1, 'trailer': 1, 'assist': 1, 'planned': 1, 'marketing': 1, 'advertise': 1, 'fake': 1, 'location': 1, 'place': 1, 'november': 1, 'fan': 1, 'start': 1, 'notice': 1, 'sponsored': 1, 'campaign': 1, 'target': 1, 'fictitious': 1, 'poster': 1, 'advertising': 1, 'method': 1, 'unfamiliar': 1, 'spot': 1, 'new': 1, 'york': 1, 'fish': 1, 'resemble': 1, 'logo': 1, 'tie': 1, 'mythical': 1, 'title': 1, 'set': 1, 'news': 1, 'agency': 1, 'scotland': 1, 'august': 1}"
613,"{'number': 3, 'track': 3, 'come': 3, 'box': 2, 'spot': 2, 'roddys': 2, 'roddy': 2, 'ehh': 2, 'err': 2, 'massive': 1, 'success': 1, 'releaseit': 1, 'peak': 1, 'billboard': 1, 'hot': 1, 'beat': 1, 'justin': 1, 'biebers': 1, 'single': 1, 'yummy': 1, 'mark': 1, 'hit': 1, 'chart': 1, 'receive': 1, 'boost': 1, 'popularity': 1, 'tiktok': 1, 'video': 1, 'meme': 1, 'parody': 1, 'production': 1, 'help': 1, 'debut': 1, 'studio': 1, 'album': 1, 'excuse': 1, 'antisocial': 1, 'reach': 1, 'billboards': 1, 'albums': 1, 'december': 1, 'atlantic': 1, 'records': 1, 'a&r': 1, 'keefa': 1, 'black': 1, 'confirm': 1, 'twitter': 1, 'unique': 1, 'squeaking': 1, 'sound': 1, 'entire': 1, 'record': 1, 'song': 1, 'complete': 1, 'producer': 1, 'roc': 1, 'recall': 1, 'interview': 1, 'genius': 1, 'news': 1, 'push': 1, 'range': 1, 'think': 1, 'look': 1}"
614,"{'christmas': 5, 'tree': 4, 'farm': 4, 'taylor': 4, 'song': 3, 'swift': 2, 'taylors': 2, 'release': 2, 'single': 1, 'american': 1, 'singer': 1, 'songwriter': 1, 'announce': 1, 'good': 1, 'morning': 1, 'america': 1, 'december': 1, 'confirm': 1, 'swifts': 1, 'marketing': 1, 'team': 1, 'nation': 1, 'title': 1, 'theme': 1, 'music': 1, 'ep': 1, 'holiday': 1, 'collection': 1, 'october': 1, 'video': 1, 'publish': 1, 'social': 1, 'medium': 1, 'platform': 1, 'reveal': 1, 'write': 1, 'weekend': 1, 'play': 1, 'significant': 1, 'role': 1, 'magical': 1, 'childhood': 1, 'march': 1, 'speak': 1, 'rolling': 1, 'stone': 1, 'unusual': 1, 'upbringing': 1, 'job': 1, 'pick': 1, 'pray': 1, 'mantis': 1, 'pod': 1, 'collect': 1, 'bug': 1, 'hatch': 1, 'inside': 1, 'people': 1, 'house': 1}"
615,"{'animal': 3, 'peta': 2, 'roddy': 1, 'ricch': 1, 'meek': 1, 'mill': 1, 'boast': 1, 'expensive': 1, 'designer': 1, 'clothing': 1, 'flex': 1, 'fur': 1, 'people': 1, 'ethical': 1, 'treatment': 1, 'american': 1, 'organization': 1, 'design': 1, 'protect': 1, 'right': 1}"
616,"{'track': 4, 'romance': 3, 'camila': 2, 'single': 2, 'havana': 2, 'version': 2, 'parent': 1, 'judgment': 1, 'pursue': 1, 'bad': 1, 'boy': 1, 'situation': 1, 'similar': 1, 'august': 1, 'feature': 1, 'sophomore': 1, 'album': 1, 'mark': 1, 'time': 1, 'dababy': 1, 'work': 1, 'song': 1, 'announce': 1, 'review': 1, 'sun': 1, 'publish': 1, 'november': 1, 'dub': 1, 'sequel': 1, 'appear': 1, 'cd': 1, 'include': 1, 'target': 1, 'exclusive': 1, 'early': 1, 'leak': 1, 'drop': 1, 'week': 1, 'release': 1}"
617,"{'album': 2, 'release': 2, 'title': 1, 'track': 1, 'xxxtentacion': 1, 'team': 1, 'frequent': 1, 'collaborator': 1, 'pnb': 1, 'rock': 1, 'trippie': 1, 'redd': 1, 'beg': 1, 'woman': 1, 'love': 1, 'pre': 1, 'single': 1, 'bvf': 1, 'week': 1}"
618,"{'song': 2, 'tease': 1, 'disrespectful': 1, 'detroits': 1, 'rap': 1, 'legend': 1, 'eminem': 1, 'tag': 1, 'fat': 1, 'joe': 1, 'dre': 1, 'mary': 1, 'j.': 1, 'blige': 1, 'look': 1, 'career': 1, 'acknowledge': 1, 'rock': 1, 'regret': 1, 'esteem': 1, 'summit': 1, 'conquer': 1, 'imminence': 1, 'death': 1, 'need': 1, 'peace': 1, 'god': 1, 'recur': 1, 'theme': 1}"
619,"{'big': 1, 'stepper': 1, 'roddy': 1, 'ricch': 1, 'deliver': 1, 'energetic': 1, 'bar': 1, 'beat': 1, 'produce': 1, 'flexico': 1, 'figurez': 1, 'dj': 1, 'shawdi': 1, 'p': 1, 'song': 1, 'success': 1, 'rap': 1, 'career': 1, 'change': 1, 'life': 1, 'hard': 1, 'work': 1}"
620,"{'russ': 5, 'single': 3, 'day': 2, 'song': 2, 'produce': 2, 'week': 1, 'old': 1, 'return': 1, '11th': 1, 'production': 1, 'feature': 1, 'bed': 1, 'squeak': 1, 'raunchy': 1, 'track': 1, 'find': 1, 'bia': 1, 'rap': 1, 'sexual': 1, 'chemistry': 1, 'lover': 1, 'boi-1da': 1, 'fourth': 1, 'best': 1, 'earth': 1, 'mark': 1, 'bias': 1, 'collaboration': 1, 'tease': 1, 'official': 1, 'release': 1, 'post': 1, 'video': 1, 'instagram': 1, 'listen': 1}"
621,"{'uzi': 7, 'track': 6, 'futsal': 5, 'lil': 4, 'shuffle': 4, 'single': 4, 'twitter': 4, 'vert': 3, 'album': 3, 'dance': 3, 'december': 3, 'release': 3, 'eternal': 2, 'atake': 2, 'promotional': 2, 'title': 2, 'tease': 2, 'day': 2, 'instrumental': 2, 'switch': 1, 'official': 1, 'second': 1, 'studio': 1, 'follow': 1, 'september': 1, 'new': 1, 'patek': 1, 'april': 1, 'sanguine': 1, 'paradise': 1, 's': 1, 'rack': 1, 'bonus': 1, 'november': 1, 'announce': 1, 'record': 1, 'lead': 1, 'preview': 1, 'song': 1, 'choreography': 1, 'separate': 1, 'tweet': 1, 'reveal': 1, 'come': 1, 'confirm': 1, 'imminent': 1, 'tonight': 1, 'leak': 1, 'hour': 1, 'result': 1, 'send': 1, 'friend': 1, 'original': 1, 'melody': 1, 'loesoe': 1, 'mayyzo': 1, 'lover': 1, 'january': 1, 'accompanying': 1, 'visual': 1, 'music': 1, 'video': 1, 'feature': 1, 'people': 1, 'different': 1, 'location': 1}"
622,"{'harry': 2, 'track': 2, 'interview': 1, 'zane': 1, 'lowe': 1, 'describe': 1, 'feeling': 1, 'falling': 1, 'represent': 1, 'start': 1, 'feel': 1, 'want': 1, 'hard': 1, 'bring': 1, 'agony': 1, 'life': 1, 'heartbreaking': 1, 'ballad': 1, 'draw': 1, 'theme': 1, 'precede': 1, 'fine': 1, 'line': 1, 'allow': 1, 'listener': 1, 'fall': 1, 'high': 1, 'present': 1, 'early': 1, 'watermelon': 1, 'sugar': 1, 'adore': 1}"
623,"{'relationship': 3, 'youngboy': 2, 'flip': 2, 'jacksons': 2, 'track': 2, 'mayweather': 2, 'release': 2, 'broke': 1, 'michael': 1, 'iconic': 1, 'april': 1, 'single': 1, 'dirty': 1, 'diana': 1, 'topic': 1, 'fan': 1, 'groupie': 1, 'past': 1, 'suspect': 1, 'endeavor': 1, 'iyanna': 1, 'mayweathers': 1, 'end': 1, 'tumultuous': 1, 'fashion': 1, 'ire': 1, 'speak': 1, 'significant': 1, 'direct': 1, 'deny': 1, 'allegation': 1, 'slash': 1, 'youngboys': 1, 'tire': 1, 'acknowledge': 1, 'song': 1, 'twitter': 1, 'day': 1}"
624,"{'let': 2, 'know': 2, 'freestyle': 2, 'track': 2, 'juice': 2, 'version': 2, 'wonder': 1, 'feature': 1, 'singe': 1, 'girl': 1, 'leave': 1, 'plead': 1, 'stay': 1, 'december': 1, 'year': 1, 'debut': 1, 'soundcloud': 1, 'song': 1, 'receive': 1, 'official': 1, 'release': 1, 'streaming': 1, 'platform': 1, 'coincide': 1, 'rise': 1, 'popularity': 1, 'social': 1, 'media': 1, 'app': 1, 'tiktok': 1, 'day': 1, 'wrld': 1, 'pass': 1, 'age': 1, 'arrive': 1, 'hometown': 1, 'chicago': 1, 'illinois': 1, 'new': 1, 'include': 1, 'clean': 1, 'polished': 1, 'mix': 1, 'original': 1}"
625,"{'song': 3, 'record': 1, 'american': 1, 'singer': 1, 'blake': 1, 'shelton': 1, 'compilation': 1, 'album': 1, 'load': 1, 'gods': 1, 'country': 1, 'feature': 1, 'guest': 1, 'vocal': 1, 'gwen': 1, 'stefani': 1, 'mark': 1, 'collaboration': 1, 'artist': 1, 'follow': 1, 'break': 1, 'heart': 1, 'feel': 1, 'christmas': 1, 'describe': 1, 'relationship': 1, 'couple': 1, 'love': 1, 'admiration': 1, 'share': 1}"
626,"{'nle': 5, 'song': 5, 'famous': 2, 'hoes': 2, 'choppa': 2, 'release': 2, 'december': 2, 'day': 2, 'produce': 1, 'cashmoneyap': 1, 'breakup': 1, 'heartbreak': 1, 'success': 1, 'making': 1, 'drug': 1, 'gun': 1, 'hit': 1, 'view': 1, 'youtube': 1, 'choppas': 1, 'girlfriend': 1, 'mariah': 1, 'break': 1, 'believe': 1, 'cheat': 1, 'consider': 1, 'diss': 1, 'remind': 1, 'cheater': 1, 'need': 1, 'money': 1, 'rap': 1, 'juice': 1, 'wrld': 1, 'rapper': 1, 'friend': 1, 'die': 1, 'suffer': 1, 'tragic': 1, 'seizure': 1, 'juices': 1, 'death': 1}"
627,"{'cherry': 4, 'watermelon': 4, 'harry': 3, 'november': 3, 'feature': 2, 'song': 2, 'fan': 2, 'write': 1, 'styles': 1, 'ex': 1, 'girlfriend': 1, 'camille': 1, 'rowe': 1, 'follow': 1, 'break': 1, 'july': 1, 'time': 1, 'feel': 1, 'great': 1, 'voice': 1, 'section': 1, 'dialogue': 1, 'end': 1, 'track': 1, 'fine': 1, 'line': 1, 'tracklist': 1, 'reveal': 1, 'speculate': 1, 'album': 1, 'purchase': 1, 'ticket': 1, 'love': 1, 'tour': 1, 'notice': 1, 'general': 1, 'admission': 1, 'pit': 1, 'fruit': 1, 'single': 1, 'sugar': 1, 'theory': 1, 'support': 1, 'slice': 1, 'queue': 1, 'saturday': 1, 'night': 1, 'live': 1, 'performance': 1}"
628,"{'tour': 3, 'track': 2, 'video': 2, 'open': 1, 'fine': 1, 'line': 1, 'reveal': 1, 'high': 1, 'ultimate': 1, 'fear': 1, 'experience': 1, 'honeymoon': 1, 'phase': 1, 'new': 1, 'bright': 1, 'relationship': 1, 'golden': 1, 'help': 1, 'set': 1, 'tone': 1, 'rest': 1, 'album': 1, 'heartbreak': 1, 'november': 1, 'style': 1, 'announce': 1, 'world': 1, 'love': 1, 'accompany': 1, 'promotional': 1, 'clip': 1, 'harrys': 1, 'solo': 1, 'fan': 1, 'notice': 1, 'include': 1, 'snippet': 1}"
629,"{'song': 4, 'protagonist': 3, 'style': 3, 'track': 3, 'guitar': 3, 'meaning': 2, 'identity': 2, 'mans': 2, 'feminine': 2, 'mitch': 2, 'idea': 2, 'ambiguous': 1, 'minute': 1, 'interpret': 1, 'array': 1, 'appear': 1, 'touch': 1, 'spend': 1, 'day': 1, 'picture': 1, 's': 1, 'introspective': 1, 'approach': 1, 'examination': 1, 'gender': 1, 'confirm': 1, 'allow': 1, 'multiple': 1, 'interpretation': 1, 'sole': 1, 'utilisation': 1, 'person': 1, 'point': 1, 'view': 1, 'introduce': 1, 'man': 1, 'live': 1, 'complicated': 1, 'double': 1, 'life': 1, 'verse': 1, 'sing': 1, 'perspective': 1, 'outline': 1, 'habitual': 1, 'quotidian': 1, 'activity': 1, 'chorus': 1, 'pronoun': 1, 'flip': 1, 'titular': 1, 'reveal': 1, 'desire': 1, 'explore': 1, 'conceal': 1, 'effort': 1, 'mask': 1, 'true': 1, 'build': 1, 'impenetrable': 1, 'masculine': 1, 'façade': 1, 'worry': 1, 'able': 1, 'tear': 1, 'fortify': 1, 'atmospheric': 1, 'outro': 1, 'fine': 1, 'line': 1, 'co': 1, 'creator': 1, 'rowland': 1, 'admit': 1, 'rolling': 1, 'stone': 1, 'come': 1, 'solo': 1, 'trip': 1, 'mushroom': 1, 'add': 1, 'forget': 1, 'love': 1, 'night': 1, 'learn': 1}"
630,"{'cold': 1, 'outside': 1, 'write': 1, 'frank': 1, 'loesser': 1, 'cover': 1, 'countless': 1, 'time': 1, 'festive': 1, 'period': 1, 'dean': 1, 'martin': 1, 'marilyn': 1, 'maxwell': 1, 'late': 1, '2010': 1, 'track': 1, 'face': 1, 'backlash': 1, 'forceful': 1, 'nature': 1, 'female': 1, 'protagonist': 1, 'instigate': 1, 'american': 1, 'radio': 1, 'station': 1, 'ban': 1, 'song': 1, 'support': 1, 'metoo': 1, 'movement': 1}"
631,"{'grinch': 3, 'christmas': 2, 'thurl': 2, 'ravenscroft': 2, 'horrible': 2, 'stand': 2, 'classic': 1, 'song': 1, 'nasty': 1, 'green': 1, 'character': 1, 'dr.': 1, 'seusss': 1, 'steal': 1, 'perform': 1, 'credit': 1, 'people': 1, 'think': 1, 'boris': 1, 'karlov': 1, 'seuss': 1, 'apologize': 1, 'tell': 1, 'public': 1, 'person': 1, 'idea': 1, 'happiness': 1, 'point': 1, 'form': 1, 'grand': 1, 'plot': 1, 'ruin': 1, 'whoville': 1, 'image': 1, 'disgusting': 1, 'repulsive': 1, 'thing': 1, 'describe': 1, 'awful': 1, 'singe': 1, 'deep': 1, 'iconic': 1, 'voice': 1}"
632,"{'war': 3, 'song': 2, 'happy': 2, 'john': 2, 'yoko': 2, 'write': 1, 'protest': 1, 'vietnam': 1, 'xmas': 1, 'end': 1, 'result': 1, 'year': 1, 'activism': 1, 'lennon': 1, 'ono': 1, 'vocal': 1, 'provide': 1, 'harlem': 1, 'community': 1, 'choir': 1, 'want': 1, 'christmas': 1, 'message': 1, 'display': 1, 'numerous': 1, 'billboard': 1, 'dozen': 1, 'major': 1, 'city': 1, 'world': 1}"
633,"{'love': 4, 'song': 2, 'portray': 2, 'general': 2, 'compton': 1, 'rapper': 1, 'yg': 1, 'assist': 1, 'h.e.r': 1, 'attempt': 1, 'showcase': 1, 'suppose': 1, 'new': 1, 'perspective': 1, 'relationship': 1, 'come': 1, 'shadow': 1, 'follow': 1, 'anonymity': 1, 'frequent': 1, 'use': 1, 'sun': 1, 'glass': 1, 'hide': 1, 'eye': 1, 'public': 1, 'time': 1, 'music': 1, 'video': 1, 'contact': 1, 'camera': 1, 'lover': 1, 'steady': 1, 'movement': 1, 'anonymous': 1, 'willing': 1, 'second': 1, 'try': 1, 'sexual': 1, 'bpm': 1, 'b': 1, 'major': 1, 'key': 1}"
634,"{'thug': 6, 'travis': 6, 'young': 2, 'frequent': 2, 'collaborator': 2, 'track': 2, 'describe': 2, 'cactus': 2, 'jack': 2, 'song': 2, 'los': 2, 'angeles': 2, 'early': 2, 'bear': 2, 'video': 2, 'feature': 2, 'member': 2, 'collaborate': 1, 'hop': 1, 'jet': 1, 'week': 1, 'scott': 1, 'enlist': 1, 'energetic': 1, 'flute': 1, 'heavy': 1, 'loyalty': 1, 'records': 1, 'gang': 1, 'share': 1, 'sexual': 1, 'activity': 1, 'title': 1, 'refer': 1, 'california': 1, 'age': 1, 'american': 1, 'frontier': 1, '1600': 1, '1900': 1, 'houston': 1, 'atlanta': 1, 'live': 1, 'time': 1, 'year': 1, 'reside': 1, 'rapper': 1, 'use': 1, 'brash': 1, 'lyricism': 1, 'exotic': 1, 'melody': 1, 'hypnotize': 1, 'beat': 1, 'portray': 1, 'modern': 1, 'outlaw': 1, 'march': 1, 'official': 1, 'music': 1, 'release': 1, 'don': 1, 'toliver': 1, 'sheck': 1, 'wes': 1, 'luxury': 1, 'tax': 1, 'chase': 1, 'b': 1, 'ysl': 1, 'yung': 1, 'kayo': 1, 'jordan': 1, 'cameo': 1, 'appearance': 1, 'savage': 1}"
635,"{'gang': 2, 'feature': 2, 'song': 2, 'day': 2, 'release': 2, 'track': 2, 'cactus': 1, 'jack': 1, 'member': 1, 'proclaim': 1, 'relationship': 1, 'loyalty': 1, 'come': 1, 'sign': 1, 'label': 1, 'production': 1, 'use': 1, 'string': 1, 'orchestration': 1, 'jackboys': 1, 'music': 1, 'video': 1, 'upload': 1, 'youtube': 1, 'visual': 1, 'artist': 1, 'smoke': 1, 'hang': 1, 'junkyard': 1, 'flex': 1, 'expensive': 1, 'car': 1, 'instrumental': 1, 'december': 1, 'blue': 1, 'hunnits': 1}"
636,"{'feature': 2, 'don': 2, 'track': 2, 'toliver': 1, 'migos': 1, 'member': 1, 'quavo': 1, 'offset': 1, 'discuss': 1, 'relationship': 1, 'girl': 1, 'past': 1, 'transgression': 1, 'leak': 1, 'april': 1, 'official': 1, 'release': 1, 'december': 1, 'year': 1, 'jackboys': 1, 'compilation': 1, 'ninth': 1, 'tolivers': 1, 'debut': 1, 'studio': 1, 'album': 1, 'heaven': 1, 'hell': 1}"
637,"{'travis': 4, 'don': 4, 'scott': 1, 'toliver': 1, 'team': 1, 'traviss': 1, 'august': 1, 'album': 1, 'astroworld': 1, 'song': 1, 'steal': 1, 'time': 1, 'sign': 1, 'record': 1, 'label': 1, 'cactus': 1, 'jack': 1, 'records': 1, 'duo': 1, 'reunite': 1, 'rap': 1, 'signature': 1, 'synth': 1, 'psychedelic': 1, 'production': 1, 'sing': 1, 'sex': 1, 'life': 1, 'drug': 1, 'usage': 1}"
638,"{'travis': 4, 'track': 4, 'scott': 3, 'pop': 3, 'smoke': 3, 'feature': 3, 'december': 2, 'gatti': 1, 'rise': 1, 'brooklyn': 1, 'rapper': 1, 'team': 1, 'time': 1, 'jackboys': 1, 'record': 1, 'video': 1, 'hang': 1, 'street': 1, 'circulate': 1, 'snippet': 1, 'unreleased': 1, 'artist': 1, 'day': 1, 'uk': 1, 'drill': 1, 'producer': 1, 'confirm': 1, 'collaboration': 1, 'reveal': 1, 'mike': 1, 'dean': 1, 'master': 1, 'early': 1, 'demo': 1, 'french': 1, 'montana': 1, 'leak': 1, 'october': 1, 'release': 1, 'accompany': 1, 'visual': 1, 'drive': 1, 'houston': 1, 'bugatti': 1, 'automobile': 1}"
639,"{'song': 2, 'high': 1, 'fashion': 1, 'roddy': 1, 'ricch': 1, 'use': 1, 'smooth': 1, 'lay': 1, 'delivery': 1, 'list': 1, 'extensive': 1, 'inventory': 1, 'luxury': 1, 'status': 1, 'symbol': 1, 'insist': 1, 'player': 1, 'collection': 1, 'woman': 1, 'hope': 1, 'display': 1, 'wealth': 1, 'way': 1, 'persuade': 1, 'object': 1, 'join': 1, 'prada': 1, 'bae': 1, '11th': 1, 'track': 1, 'roddys': 1, 'debut': 1, 'album': 1, 'second': 1, 'collaboration': 1, 'mustard': 1, 'feature': 1, 'june': 1, 'ballin': 1}"
640,"{'charlie': 3, 'song': 3, 'hope': 2, 'cheat': 2, 'lyric': 2, 'puth': 1, 'hop': 1, 'remix': 1, 'gabby': 1, 'barretts': 1, 'wish': 1, 'ex': 1, 'fall': 1, 'love': 1, 'karma': 1, 'change': 1, 'offer': 1, 'male': 1, 'perspective': 1, 'amazon': 1, 'live': 1, 'country': 1, 'pop': 1, 'singer': 1, 'know': 1, 'jump': 1, 'track': 1, 'appreciate': 1, 'r&b': 1, 'influence': 1}"
641,{}
642,{}
643,{}
644,{}
645,{}
646,"{'release': 6, 'track': 5, 'justin': 3, 'album': 3, 'video': 3, 'yummy': 2, 'studio': 2, 'music': 2, 'january': 2, 'term': 2, 'describe': 2, 'wife': 2, 'bieber': 2, 'snippet': 2, 'day': 2, 'lead': 1, 'single': 1, 'biebers': 1, 'fifth': 1, 'changes': 1, 'solo': 1, 'fourth': 1, 'purpose': 1, 'november': 1, 'accompany': 1, 'lyric': 1, 'official': 1, 'pm': 1, 'est': 1, '4th': 1, 'find': 1, 'attractive': 1, 'appealing': 1, 'use': 1, 'hailey': 1, 'know': 1, 'gush': 1, 'commenting': 1, 'photo': 1, 'write': 1, 'poem': 1, 'love': 1, 'song': 1, 'date': 1, 'announce': 1, 'december': 1, 'trailer': 1, 'youtube': 1, 'play': 1, 'continue': 1, 'tease': 1, 'tweet': 1, 'apparent': 1, 'teaser': 1, 'instrumental': 1, 'version': 1}"
647,"{'track': 2, 'release': 2, 'play': 1, 'club': 1, 'banger': 1, 'rapper': 1, 'moneybagg': 1, 'yo': 1, 'lil': 1, 'baby': 1, 'tay': 1, 'keith': 1, 'produce': 1, 'serve': 1, 'second': 1, 'single': 1, 'baggs': 1, 'studio': 1, 'album': 1, 'time': 1, 'served': 1, 'bagg': 1, 'preview': 1, 'song': 1, 'delete': 1, 'twitter': 1, 'post': 1, 'january': 1, 'music': 1, 'video': 1, 'day': 1, 'follow': 1}"
648,"{'feature': 3, 'vocal': 3, 'song': 3, 'release': 3, 'member': 2, 'track': 2, 'leak': 2, 'sugar': 1, 'performance': 1, 'group': 1, 'contribution': 1, 'american': 1, 'alternative': 1, 'singer': 1, 'ryan': 1, 'beatty': 1, 'discuss': 1, 'topic': 1, 'hollow': 1, 'youthful': 1, 'relationship': 1, 'fill': 1, 'drug': 1, 'use': 1, 'partner': 1, 'want': 1, 'gingers': 1, 'turn': 1, 'file': 1, 'sharing': 1, 'site': 1, 'start': 1, 'june': 1, '21st': 1, 'lead': 1, 'fan': 1, 'believe': 1, 'single': 1, 'record': 1, 'result': 1, 'push': 1, 'album': 1, 'march': 1, '3rd': 1, 'brockhampton': 1, 'remix': 1, 'dua': 1, 'lipa': 1, 'jon': 1, 'b': 1, 'success': 1, 'billboard': 1, 'chart': 1}"
