,sentiment_subjectivity_v2
127,0.6824175824175824
128,0.6696969696969698
129,0.1806613756613755
130,0.2479166666666666
131,0.5398591174906965
132,0.5882826278659611
133,0.6169642857142857
134,0.4618939393939393
135,0.5403472222222223
136,0.748469387755102
137,0.4766402116402115
138,0.4115925925925928
139,0.438888888888889
140,0.4810185185185185
141,0.4656126482213437
142,0.4031632110579479
143,0.4652993443754314
144,0.4475663325663325
145,0.4383788625167935
146,0.3820701058201058
148,0.4851934022767356
149,0.5489748677248677
150,0.5194444444444445
151,0.4457458610684417
152,0.474437897493453
153,0.3638888888888889
154,0.4449331275720165
155,0.4476370851370851
157,0.3857142857142857
158,0.4255148709315376
159,0.4674242424242425
160,0.5596560846560846
161,0.6137333333333335
162,0.4656832298136645
163,0.2818181818181818
165,0.7873626373626373
166,0.0
167,0.463790322580645
168,0.5731159420289855
169,0.7625000000000001
170,0.6544685990338164
171,0.4735058922558922
172,0.563354700854701
173,0.3531250000000001
174,0.6751923076923076
175,0.6493333333333332
176,0.6901515151515152
177,0.6905753968253968
178,0.6060924369747899
179,0.6024864024864027
180,0.4240079365079365
181,0.4701388888888889
182,0.5171193415637859
183,0.5747615039281707
184,0.4734848484848484
185,0.3092592592592592
186,0.245
187,0.4245726495726495
188,0.4196969696969697
189,0.6272727272727274
190,0.3611111111111111
191,0.4436724386724385
192,0.5837962962962964
193,0.4812499999999998
194,0.5496638684138684
195,0.4774937343358397
196,0.5102150537634409
197,0.503782902920834
198,0.5519090780251495
199,0.393070707070707
200,0.3749834656084656
201,0.5603571428571429
202,0.6076785714285714
203,0.4671296296296296
204,0.5310714285714285
205,0.3501746031746032
206,0.4664772727272727
207,0.6289062500000002
208,0.4726322751322752
209,0.6758597883597884
210,0.5465277777777778
211,0.7639705882352942
212,0.4781746031746032
213,0.3465277777777779
214,0.4897017797017797
215,0.3036796536796536
216,0.345084175084175
217,0.5555555555555556
218,0.5544610855094727
219,0.5458786005661005
220,0.4615599017384732
221,0.5932754182754182
222,0.5726495726495727
223,0.4628571428571428
224,0.5021505376344085
225,0.5731428571428572
226,0.4661003637566138
227,0.5831009615384615
229,0.5714726631393298
230,0.6376157407407408
231,0.4531519205432249
232,0.4678571428571429
233,0.4238453500522467
234,0.5782331094831097
235,0.4077450980392156
236,0.5670260809149696
237,0.582179487179487
238,0.4102484472049689
239,0.6792434715821813
240,0.542746913580247
241,0.7259259259259259
242,0.3805952380952382
243,0.3607385039203221
244,0.5076923076923077
245,0.4531954887218045
246,0.4061838624338625
247,0.7555555555555556
248,0.6652046783625731
249,0.4125953984287317
250,0.388095238095238
251,0.5515151515151514
252,0.3570526695526695
253,0.5995572916666667
254,0.4373185941043083
255,0.5113917500124396
256,0.6963561076604554
257,0.5622222222222222
258,0.5061965811965813
259,0.6098412698412696
260,0.3366762866762867
262,0.5379464285714285
263,0.4616359588920565
264,0.617142857142857
265,0.4853856029591323
266,0.4257619047619049
267,0.5153846153846154
268,0.406368686868687
269,0.6573512906846241
270,0.5380952380952383
271,0.6229166666666668
272,0.5216557734204795
273,0.4564536340852129
274,0.4203661375661375
275,0.3513968253968253
276,0.6037070707070707
277,0.6499999999999998
278,0.4176883632240776
280,0.5876543209876544
281,0.5865333740333738
282,0.3752050264550264
283,0.40546783625731
284,0.5177350427350427
285,0.6105381546558017
287,0.5888888888888889
288,0.4853363415258577
289,0.4652821505094233
290,0.4811111111111111
291,0.4075
292,0.4757486151840991
293,0.413265306122449
294,0.6185134310134311
295,0.3765873015873017
296,0.5722619047619049
297,0.4588355654761905
299,0.5626736111111111
301,0.4365635997988938
302,0.4733918128654971
303,0.4797619047619047
304,0.6723443223443224
305,0.4323174603174603
306,0.517636483886484
307,0.5061026936026936
