,sentiment_polarity
169,-0.0071428571428571
170,0.0523569023569023
171,0.15
172,0.2409259259259259
173,0.17
174,-0.0639473684210526
175,-0.4882716049382714
176,0.2061403508771929
177,0.1607142857142857
178,0.268796992481203
179,0.3888546481766821
180,-0.0820578231292517
181,0.0197916666666666
182,0.0470440251572327
183,-0.1255742913000977
184,0.0731182795698924
185,-0.1311111111111111
186,0.0166666666666666
187,0.4194444444444445
188,0.0993749999999999
189,0.3
190,0.0555555555555555
191,0.0309676434676434
192,0.0138888888888888
193,-0.0625
194,-0.0078128220985363
195,-0.1056254442075337
196,0.1182291666666666
197,-0.0440029173724825
198,-0.0156183993140514
199,0.0269436792164064
200,-0.0550899470899471
201,0.3084033613445378
202,-0.0282857142857142
203,0.1134615384615384
204,0.3154761904761905
205,0.1956833139759969
206,0.1324810606060605
207,-0.0789473684210526
208,0.1297161172161172
209,0.3471560846560846
210,0.1894444444444444
211,-0.232336956521739
212,0.1981884057971014
213,-0.0142020202020202
214,-0.0401409566043712
215,-0.0690867003367003
216,0.0595541885015569
217,0.1019047619047619
218,0.0869005403579871
219,-0.2499769520602852
220,-0.0619781559436731
221,-0.1098102678571428
222,-0.1605744949494949
223,0.1653061224489796
224,-0.1405405405405404
225,-0.0425903119868637
226,-0.0182852965747702
227,0.1699832775919732
229,0.0837391774891774
230,-0.014861111111111
231,-0.0489557109557109
232,0.0217391304347826
233,0.0288124488124488
234,0.1257362272430765
235,0.0029605263157894
236,-0.0955964405964406
237,0.0067816091954023
238,0.1333333333333333
239,-0.3505468447541617
240,-0.0166666666666666
241,0.2458333333333333
242,-0.0145714285714285
243,0.0075918762088974
244,0.225
245,0.2011054421768707
246,0.1870396825396825
247,-0.1430555555555555
248,-0.1618888888888889
249,-0.0291847041847042
250,0.1821428571428571
251,0.1958333333333333
252,0.0370247323735696
253,0.1419886363636363
254,-0.0217125739184562
255,0.169966120835686
256,0.2198556998556998
257,0.0252136752136752
258,0.0089869281045751
259,0.0127572016460906
260,0.1440643863179075
262,-0.0247093023255813
263,-0.0803590217652717
264,0.4531972789115646
265,-0.0013306063306063
266,-0.1139172335600907
267,0.4577777777777778
268,-0.0555651755651755
269,0.2233924611973392
270,0.3172619047619047
271,0.343560606060606
272,0.2385770584634221
273,0.0995455709165386
274,0.0300718065003779
275,0.3311090225563909
276,-0.0057289107289107
277,0.2166666666666666
278,0.0428986291486291
280,-0.05258547008547
281,0.2679523008636931
282,-0.0893240284619595
283,-0.0660101010101009
284,0.3346296296296296
285,0.0479515653428696
286,0.0040849673202614
287,-0.2416666666666666
288,-0.0222004213207916
289,0.2562280972995259
290,-0.0222222222222222
291,-0.0077380952380952
292,-0.1190012626262626
293,-0.2285714285714285
294,0.0728734228734228
295,0.0090067340067339
296,-0.0543233082706766
297,-0.0565575396825396
299,0.2518518518518518
301,0.217426400759734
302,0.1929629629629629
