,keywords
571,"{'love': 13, 'let': 10, 'feel': 8, 'lucky': 8, 'easy': 7, 'wanna': 7, 'worry': 4, 'touch': 4, 'lovely': 4, 'catch': 3, 'vibe': 3, 'time': 3, 'relax': 3, 'mind': 3, 'decide': 3, 'baby': 2, 'feelin': 2, 'ya': 2, 'fi': 1, 'bae': 1, 'whippin': 1, 'highway': 1, 'ride': 1, 'fast': 1, 'lane': 1, 'babe': 1, 'dani': 1, 'behave': 1, 'chill': 1, 'sunday': 1, 'look': 1, 'thirsty': 1, 'drip': 1, 'wavy': 1, 'od': 1, 'homie': 1, 'og': 1, 'old': 1, 'day': 1, 'real': 1, 'tell': 1, 'stress': 1, 'mistake': 1, 'work': 1, 'miss': 1}"
572,"{'diamond': 12, 'big': 11, 'boy': 11, 'ice': 9, 'climate': 7, 'like': 6, 'way': 6, 'burglar': 6, 'murderer': 6, 'try': 6, 'vibin': 4, 'buy': 4, 'bitch': 4, 'water': 4, 'step': 3, 'nigga': 3, 'grill': 3, 'tooth': 3, 'permanent': 3, 'new': 3, 'gun': 3, 'dirty': 3, 'shit': 3, 'want': 3, 'stepper': 2, 'london': 2, 'beat': 2, 'pull': 2, 'hoo': 2, 'doo': 2, 'come': 2, 'shoot': 2, 'g.o.a.t.': 2, 'wop': 2, 'tell': 2, 'bling': 2, 'callin': 2, 'burr': 1, 'calculate': 1, 'freekodak': 1, 'asap': 1, 'remember': 1, 'onethat': 1, 'thing': 1, 'lady': 1, 'vagina': 1, 'late': 1, 'designer': 1, 'abracadabra': 1, 'boo': 1, 'jag': 1, 'voodoo': 1, 'milkin': 1, 'yoo': 1, 'passin': 1, 'gas': 1, 'fart': 1, 'smell': 1, 'deal': 1, 'meltin': 1, 'fuck': 1, 'daughter': 1, 'lil': 1, 'father': 1, 'daddy': 1, 'papi': 1, 'comin': 1, 'drop': 1, 'addy': 1, 'xannie': 1, 'mollie': 1, 'talkin': 1, 'icy': 1, 'heaven': 1, 'white': 1, 'wife': 1, 'wedding': 1, 'dice': 1, 'celly': 1, 'teach': 1, 'lifer': 1, 'lesson': 1, 'knife': 1, 'peasant': 1, 'chopper': 1, 'gucci': 1, 'know': 1, 'scope': 1, 'rifle': 1, 'holdin': 1, 'steady': 1, 'ap': 1, 'elvis': 1, 'presley': 1, 'dancin': 1, 'play': 1, 'sweet': 1, 'jelly': 1, 'stomach': 1, 'flat': 1, 'dick': 1, 'belly': 1, 'think': 1, 'lick': 1, 'spend': 1, 'brick': 1, 'presi': 1, 'christmas': 1, 'stick': 1, 'present': 1, 'baguette': 1, 'chopard': 1, 'factory': 1, 'sette': 1, 'run': 1, 'forget': 1, 'break': 1, 'dam': 1, 'flood': 1, 'cash': 1, 'credit': 1, 'stash': 1, 'budget': 1, 'pocket': 1, 'budgy': 1, 'handsome': 1, 'ugly': 1, 'catch': 1, 'rash': 1, 'countin': 1, 'money': 1, 'global': 1, 'warming': 1, 'charm': 1, 'charming': 1, 'watch': 1, 'arm': 1, 'army': 1}"
573,"{'come': 8, 'guy': 6, 'shit': 6, 'new': 5, 'car': 5, 'know': 5, 'noisy': 4, 'roarin': 4, 'turn': 4, 'brand': 3, 'skrrt': 3, 'worry': 3, 'care': 3, 'boyfriend': 3, 'nervous': 3, 'perfect': 3, 'work': 3, 'determine': 3, 'safe': 3, 'earn': 3, 'fly': 3, 'matter': 3, 'fact': 3, 'high': 3, 'post': 3, 'drip': 3, 'hater': 3, 'hear': 3, 'big': 2, 'bitch': 2, 'song': 2, 'stand': 2, 'tell': 2, 'play': 2, 'west': 2, 'miss': 2, 'kick': 2, ""howi'mcome"": 1, 'bend': 1, 'murk': 1, 'want': 1, 'birkin': 1, 'lyin': 1, 'verse': 1, 'hearin': 1, 'buyin': 1, 'purse': 1, 'lie': 1, 'type': 1, 'fine': 1, 'person': 1, 'guarantee': 1, 'kind': 1, 'bag': 1, 'imagine': 1, 'house': 1, 'braggin': 1, 'mouth': 1, 'happenin': 1, 'cheap': 1, 'tooth': 1, 'embarrasin': 1, 'comparison': 1, 'badd': 1, 'good': 1, 'girl': 1, 'savage': 1, 'dispatch': 1, 'problem': 1, 'traffic': 1, 'match': 1, 'g': 1, 'wagens': 1, 'low': 1, 'key': 1, 'classy': 1, ""doin'"": 1, 'nasty': 1, 'niggas': 1, 'year': 1, 'start': 1, 'nigga': 1, 'gear': 1, 'try': 1, 'pass': 1, 'look': 1, 'contribute': 1, 'fashion': 1, 'drop': 1, 'caption': 1, 'regular': 1, 'rapper': 1, 'dope': 1, 'hit': 1, 'land': 1, 'bring': 1, 'band': 1, 'road': 1, 'mode': 1, 'fuckin': 1, 'buy': 1, 'clothe': 1, 'wanna': 1, 'sure': 1, 'sell': 1, 'fuck': 1, 'stripper': 1, 'pole': 1, 'money': 1, 'nose': 1, 'load': 1, 'trophy': 1, 'sendin': 1, 'emojis': 1, 'time': 1, 'motion': 1, 'emotion': 1, 'sleep': 1, 'floor': 1, 'bro': 1, 'door': 1, 'stove': 1, ""goin'"": 1, 'break': 1, 'old': 1, 'takin': 1, 'drug': 1, 'cope': 1, 'thing': 1, 'hopeless': 1, 'rodent': 1, 'drive': 1, 'corvette': 1, 'steal': 1}"
574,"{'heart': 12, 'ice': 8, 'fault': 4, 'good': 4, 'time': 3, 'know': 3, 'look': 2, 'break': 2, 'believe': 2, 'mama': 2, 'wear': 2, 'sleeve': 2, 'think': 2, 'breathe': 2, 'gettin': 2, 'way': 2, 'day': 2, 'speakerbangerz': 1, 'cause': 1, 'cell': 1, 'lil': 1, 'hakeem': 1, 'slap': 1, 'tell': 1, 'clown': 1, 'soldier': 1, 'understand': 1, 'aggression': 1, 'build': 1, 'year': 1, 'abandon': 1, 'adolescence': 1, 'lie': 1, 'backstabbe': 1, 'heartbroken': 1, 'want': 1, 'cry': 1, 'afraid': 1, 'open': 1, 'prayin': 1, 'd': 1, 'find': 1, 'peace': 1, 'mind': 1, 'ocean': 1, 'spend': 1, 'commit': 1, 'crime': 1, 'close': 1, 'nana': 1, 'house': 1, 'play': 1, 'couch': 1, 'starin': 1, 'ceiling': 1, 'tryin': 1, 'feeling': 1, 'thinkin': 1, 'million': 1, 'pain': 1, 'clear': 1, 'rainy': 1}"
575,"{""ol'"": 6, 'point': 4, 'cup': 4, 'coffee': 4, 'sunrise': 3, 'sunday': 3, 'drive': 3, 'time': 3, 'kill': 3, 'guitar': 3, 'string': 3, 'pourin': 3, 'heart': 3, 'song': 3, 'sing': 3, 'match': 3, 'heaven': 3, 'good': 3, 'boy': 3, 'beer': 3, 'old': 2, 'hand': 2, 'thing': 2, 'way': 2, 'hp': 1, 'johnson': 1, 'flat': 1, 'metal': 1, 'boat': 1, 'coke': 1, 'bb': 1, 'gun': 1, 'barbed': 1, 'wire': 1, 'fence': 1, 'post': 1, 'buck': 1, 'autumn': 1, 'cut': 1, 'cornfield': 1, 'arm': 1, 'window': 1, 'wheel': 1, 'license': 1, 'wallet': 1, 'downtown': 1, 'lipstick': 1, 'stain': 1, 'house': 1, 'love': 1, 'rain': 1, 'tin': 1, 'roof': 1, 'fit': 1, 'needle': 1, 'groove': 1, 'oil': 1, 'water': 1, 'honest': 1, 'sound': 1}"
576,"{'know': 5, 'want': 4, 'care': 4, 'cry': 4, 'wanna': 4, 'dream': 3, 'head': 3, 'think': 2, 'nightmare': 2, 'wake': 2, 'hurt': 2, 'lie': 2, 'learn': 2, 'change': 2, 'way': 2, 'wonder': 2, 'hear': 2, 'deserve': 2, 'feel': 2, 'let': 2, 'bein': 1, 'honest': 1, 'toanyone': 1, 'thought': 1, 'couldfly': 1, 'fly': 1, 'step': 1, 'golden': 1, 'mm': 1, 'notice': 1, 'stand': 1, 'kinda': 1, 'try': 1, 'scream': 1, 'underwater': 1, 'weak': 1, 'daughter': 1, 'coulda': 1, 'yesterday': 1, 'year': 1}"
578,"{'yellow': 9, 'heart': 9, 'tell': 7, 'listen': 6, 'crazy': 6, 'start': 6, 'work': 5, 'art': 5, 'star': 4, 'good': 4, 'think': 4, 'play': 4, 'game': 4, 'favorite': 3, 'color': 3, 'mean': 3, 'let': 2, 'like': 2, 'veryhard': 1, 'whenshe': 1, 'sheput': 1, 'drive': 1, 'open': 1, 'road': 1, 'slow': 1, 'come': 1, 'train': 1, 'phone': 1, 'trend': 1, 'welcome': 1, 'amend': 1, 'hear': 1, 'friend': 1, 'know': 1, 'lot': 1, 'girl': 1, 'hard': 1, 'garden': 1, 'carpenter': 1, 'bee': 1, 'bob': 1, 'ross': 1, 'harden': 1, 'beard': 1, 'issue': 1, 'nature': 1, 'primrose': 1, 'bloom': 1, 'night': 1, 'birds': 1, 'wanna': 1, 'flight': 1, 'appreciate': 1, 'land': 1, 'fore': 1, 'turn': 1, 'glacier': 1, 'chaser': 1, 'use': 1, 'taste': 1, 'endure': 1, 'new': 1}"
579,"{'spring': 10, 'lil': 6, 'mama': 6, 'lock': 5, 'let': 4, 'ayy': 4, 'shawty': 4, 'wait': 4, 'tryna': 4, 'spot': 4, 'drop': 4, 'undo': 4, 'clap': 4, 'sexy': 4, 'tell': 3, 'nigga': 3, 'want': 3, 'true': 3, 'door': 3, 'bitch': 3, 'thing': 3, 'pull': 2, 'bad': 2, 'day': 2, 'chick': 2, 'night': 2, 'like': 2, 'bust': 2, 'buss': 2, 'know': 2, 'yo': 2, 'song': 2, 'catch': 2, 'dawg': 2, 'got': 2, 'damn': 2, 'wanna': 2, 'work': 1, 'king': 1, 'diamonds': 1, 'monday': 1, 'hit': 1, 'club': 1, 'saturday': 1, 'sunday': 1, 'week': 1, 'way': 1, 'clean': 1, 'suit': 1, 'birthday': 1, 'reason': 1, 'thirsty': 1, 'fit': 1, 'school': 1, 'gym': 1, 'workday': 1, 'dish': 1, 'hold': 1, 'clip': 1, 'extension': 1, 'vicious': 1, 'glad': 1, 'right': 1, 'bag': 1, 'lookin': 1, 'fun': 1, 'baby': 1, 'spend': 1, 'sayin': 1, 'bring': 1, 'pussy': 1, 'hater': 1, 'ask': 1, 'rolls': 1, 'umbrella': 1, 'come': 1, 'open': 1, 'rich': 1, 'lamborghini': 1, 'bikini': 1, 'beach': 1, 'sittin': 1, 'champagne': 1, 'nasty': 1, 'spit': 1, 'tory': 1, 'line': 1, 'hot': 1, 'tape': 1, 'time': 1, 'ex': 1, 'flyin': 1, 'jet': 1, 'speed': 1, 'messy': 1, 'broad': 1, 'light': 1, 'sprung': 1, 'girl': 1}"
580,"{'love': 37, 'time': 7, 'baby': 6, 'know': 4, 'treat': 3, 'freakin': 3, 'weekend': 3, 'eat': 3, 'season': 3, 'wrap': 3, ""lovin'"": 3, 'head': 3, 'runnin': 3, 'second': 2, 'mean': 2, 'upthesecond': 1, 'andreason': 1, 'red': 1, 'light': 1, 'crash': 1, 'deer': 1, 'headlight': 1, 'passionate': 1, 'wanna': 1, 'bask': 1, 'winnin': 1, 'championship': 1, 'try': 1, 'deny': 1, 'let': 1, 'apply': 1, 'tie': 1, 'lo': 1, 'o': 1, 'ove': 1, 'find': 1, 'ya': 1, 'remind': 1, 'reason': 1, 'minute': 1}"
581,"{'want': 24, 'knee': 8, 'close': 8, 'face': 7, 'valentine': 6, 'valentino': 6, 'neck': 6, 'poke': 6, 'casino': 6, 'deep': 6, 'throat': 6, 'know': 6, 'free': 6, 'throw': 6, 'shawty': 6, 'mo': 6, 'fuck': 2, 'ayy': 2, 'bitch': 2, 'place': 2, 'mask': 2, 'blast': 2, 'minute': 1, 'maid': 1, 'diamond': 1, 'lemonade': 1, 'flexin': 1, 'popeye': 1, 'wallet': 1, 'fill': 1, 'spinach': 1, 'cut': 1, 'interstate': 1, 'finish': 1, 'young': 1, 'rich': 1, 'nigga': 1, 'way': 1, 'grave': 1, 'tomorrow': 1, 'today': 1, 'live': 1, 'poppin': 1, 'bottle': 1, 'k': 1, 'gucci': 1, 'shade': 1, 'bougie': 1, 'pay': 1, 'team': 1, 'bay': 1, 'fly': 1, 'wear': 1, 'robin': 1, 'wing': 1, 'stay': 1, 'russian': 1, 'cream': 1, 'rocket': 1, 'ship': 1, 'outer': 1, 'space': 1, 'catch': 1, 'case': 1, 'star': 1, 'wraith': 1, 'crib': 1, 'mansion': 1, 'gate': 1, 'come': 1, 'section': 1, 'club': 1, ""goin'"": 1, 'bet': 1, 'slide': 1, 'chess': 1, 'think': 1, 'fall': 1, 'love': 1, 'shake': 1, 'ass': 1}"
582,"{'girl': 10, 'write': 8, 'reply': 6, 'know': 6, 'want': 4, 'life': 4, 'night': 4, 'body': 4, 'lie': 3, 'way': 3, 'tell': 3, 'play': 3, 'televise': 2, 'eye': 2, 'morning': 2, 'tie': 2, 'thief': 2, 'type': 2, 'guy': 2, 'disguise': 2, 'line': 2, 'cry': 2, 'round': 2, 'artist': 2, 'baby': 2, 'change': 2, 'joefromyo': 1, 'grizz': 1, 'followmycommands': 1, 'come': 1, 'comply': 1, 'causemy': 1, 'different': 1, 'sell': 1, 'dream': 1, 'tonight': 1, 'rubbin': 1, 'thigh': 1, 'pay': 1, 'mind': 1, 'bitch': 1, 'ticket': 1, 'fine': 1, 'shoulder': 1, 'lean': 1, 'slow': 1, 'stay': 1, 'hit': 1, 'perc': 1, 'finished': 1, 'grab': 1, 'waist': 1, 'run': 1, 'foot': 1, 'numb': 1, 'time': 1, 'moan': 1, 'switch': 1, 'dollar': 1, 'rule': 1, 'game': 1, 'father': 1, 'scholar': 1, 'problem': 1, 'argue': 1, 'main': 1, 'wanna': 1, 'pray': 1, 'fake': 1, 'complain': 1, 'beautiful': 1, 'couple': 1, 'eatin': 1, 'plain': 1, 'scallop': 1, 'clam': 1, 'chowder': 1, 'raise': 1, 'damn': 1, 'toddler': 1, ""nothin'"": 1, 'nigga': 1, 'pull': 1, 'spray': 1, 'sing': 1, 'shit': 1, 'mad': 1, 'bring': 1, 'friend': 1, 'fuck': 1, 'favorite': 1, 'song': 1, 'look': 1, 'sexy': 1, 'makeup': 1, 'ask': 1, 'nasty': 1, 'raw': 1, 'hope': 1, 'think': 1, 'crazy': 1}"
583,"{'worth': 8, 'concern': 7, 'know': 6, 'thing': 5, 'hurt': 5, 'guess': 4, 'work': 4, 'movin': 4, 'want': 3, 'need': 3, 'good': 3, 'time': 3, 'hear': 2, 'hearin': 2, 'leave': 2, 'feel': 2, 'come': 2, 'deserve': 2, 'scared': 2, 'burn': 2, 'shit': 2, 'day': 2, 'cross': 2, 'cheatin': 2, 'tryna': 2, 'grabbin': 2, 'contemplatin': 1, 'meditatin': 1, 'wait': 1, 'date': 1, 'irritated': 1, 'baby': 1, 'whyyou': 1, 'sayit': 1, 'save': 1, 'fade': 1, 'long': 1, 'sayin': 1, 'nah': 1, 'catch': 1, 'scene': 1, 'little': 1, 'miss': 1, 'trust': 1, 'beef': 1, 'point': 1, 'disappointed': 1, 'homie': 1, 'audacity': 1, 'question': 1, 'traumatize': 1, 'suicidal': 1, 'sick': 1, 'tired': 1, 'blame': 1, 'way': 1, 'today': 1, 'afraid': 1, 'bitch': 1, 'ass': 1, 'phone': 1, 'girl': 1, 'watch': 1, 'tone': 1, 'worry': 1, 'fuckin': 1, ""lovin'"": 1, 'discussion': 1, 'wish': 1, 'luck': 1, 'man': 1, 'bullshit': 1, 'city': 1, 'turnt': 1, 'word': 1, 'turn': 1, 'issue': 1, 'meet': 1, 'result': 1, 'post': 1, 'damage': 1, 'deal': 1, 'backtrack': 1, 'nigga': 1, 'belong': 1, 'aura': 1, 'modern': 1, 'mind': 1, 'line': 1, 'dumb': 1, 'speak': 1, 'heart': 1, 'mark': 1, 'scar': 1, 'lay': 1, 'think': 1, 'naked': 1, 'find': 1, 'replacement': 1, 'cum': 1, 'lip': 1, 'vase': 1, 'ride': 1, 'face': 1, 'realize': 1, 'look': 1, 'taste': 1, 'finger': 1, 'mouth': 1, 'dickin': 1, 'waist': 1, 'room': 1, 'escape': 1}"
584,"{'sugar': 27, 'watermelon': 25, 'high': 23, 'taste': 8, 'wanna': 6, 'summer': 5, 'breathe': 4, 'know': 4, 'evenin': 3, 'want': 3, 'strawberry': 2, 'sound': 2, 'song': 2, 'belly': 2, 'feelin': 2, 'moreberriesand': 1, 'summerfeelin': 1, 'wonderful': 1, 'warm': 1, 'mein': 1, 'think': 1, 'loud': 1, 'strawberries': 1, 'baby': 1, 'end': 1, 'june': 1, 'wash': 1}"
585,"{'promise': 23, 'baby': 15, 'know': 14, 'babe': 12, 'let': 8, 'wanna': 7, 'girl': 4, 'gobblin': 4, 'body': 3, 'come': 3, 'lickin': 2, 'pussy': 2, 'end': 2, 'time': 2, 'bump': 2, 'grind': 2, 'hit': 2, 'rewind': 2, 'button': 2, 'life': 2, 'youdown': 1, 'andshow': 1, ""whati'm"": 1, 'yourbody': 1, 'position': 1, 'minute': 1, 'lot': 1, 'mind': 1, 'ease': 1, 'lick': 1, 'slip': 1, 'light': 1, 'scream': 1, 'ice': 1, 'cream': 1, 'scoop': 1, 'dip': 1, 'unzippin': 1, 'tight': 1, 'jean': 1, 'feminine': 1, 'hygiene': 1, 'magnificent': 1, 'tryna': 1, 'different': 1, 'til': 1, 'wet': 1, 'drippin': 1, 'splittin': 1, 'leg': 1, 'dividend': 1, 'want': 1, 'sittin': 1, 'lip': 1, 'feelin': 1, 'fuckin': 1, 'feeling': 1, 'hard': 1, 'bottle': 1, 'dick': 1, 'big': 1, 'swallow': 1, 'thanksgiving': 1, 'goon': 1, 'goblin': 1, 'hot': 1, 'summer': 1, 'june': 1, 'metropolis': 1, 'hidin': 1, 'shit': 1, 'copy': 1, 'copywritten': 1, 'property': 1, 'way': 1, 'whip': 1, 'drivin': 1, 'crazy': 1, 'think': 1, 'hittin': 1, 'lottery': 1, 'buy': 1, 'wraith': 1, 'safe': 1, 'apartment': 1, 'parkin': 1, 'place': 1, 'real': 1, 'monopoly': 1, 'night': 1, 'right': 1, 'play': 1, 'damn': 1, 'room': 1, 'radio': 1, 'playin': 1, 'old': 1, 'school': 1, 'cb': 1, 'need': 1, 'love': 1, 'feel': 1, 'hear': 1}"
586,"{'feel': 15, 'love': 5, 'think': 5, 'try': 4, 'come': 4, 'treat': 4, 'baby': 4, 'need': 4, 'fall': 3, 'break': 3, 'wanna': 2, 'exception': 2, 'mind': 2, 'talk': 1, 'hear': 1, 'know': 1, 'numb': 1, 'drown': 1, 'pain': 1, 'pourin': 1, 'speedin': 1, 'run': 1, 'catch': 1, 'callin': 1, 'swear': 1, 'talkin': 1, 'girl': 1, 'time': 1, 'eye': 1, 'feelin': 1, 'sick': 1, 'open': 1, 'trust': 1, 'find': 1, 'way': 1, 'tear': 1}"
587,"{'thank': 16, 'beautiful': 8, 'hit': 5, 'stunt': 4, 'know': 4, 'love': 3, 'shawty': 3, 'let': 3, 'money': 2, 'baby': 2, 'bag': 2, 'good': 2, 'hold': 2, 'fuck': 2, 'wanna': 2, 'tell': 2, 'switch': 2, 'mmh': 2, 'option': 2, 'come': 2, 'pretty': 2, 'shit': 2, 'real': 1, ""howi'mcomin"": 1, 'itfrom': 1, 'jump': 1, 'ikiss': 1, 'strip': 1, 'club': 1, 'g': 1, 'temper': 1, 'bad': 1, 'tempt': 1, 'different': 1, 'man': 1, 'hennessy': 1, 'tryna': 1, 'remember': 1, 'pussy': 1, 'fuckin': 1, 'body': 1, 'ring': 1, 'neptunes': 1, 'song': 1, 'stunner': 1, 'clean': 1, 'summer': 1, 'celine': 1, 'givin': 1, 'knowin': 1, 'need': 1, 'sheet': 1, 'send': 1, 'cleaner': 1, 'smoke': 1, 'weed': 1, 'way': 1, 'catch': 1, 'misdemeanor': 1, 'young': 1, 'nigga': 1, 'beat': 1, 'ex': 1, 'hate': 1, 'gettin': 1, 'heat': 1, 'hear': 1, 'breakin': 1, 'talkin': 1, 'word': 1, 'observe': 1, 'splizz': 1, 'erve': 1, 'slick': 1, 'iceberg': 1, 'cold': 1, 'wizz': 1, 'ord': 1, 'light': 1, 'izz': 1, 'erd': 1, 'matter': 1, ""nothin'"": 1, 'wrong': 1, 'peep': 1, 'hard': 1, 'bleep': 1, 'wrap': 1, 'bow': 1, 'lay': 1, 'floor': 1, 'tory': 1, 'story': 1, 'blue': 1, 'touch': 1, 'number': 1, 'leave': 1, 'cum': 1, 'guess': 1, 'runner': 1, 'big': 1, 'bank': 1, 'spend': 1, 'lot': 1, 'audible': 1, 'bentley': 1, 'bentayga': 1, 'girl': 1, 'paper': 1, 'pocket': 1, 'watchin': 1, 'pay': 1, 'fly': 1, 'sand': 1, 'jamaica': 1, 'damage': 1, 'makeup': 1, 'manage': 1, 'humble': 1, 'cheddar': 1, 'grind': 1, 'day': 1, 'rolls': 1, 'royce': 1, 'drive': 1, 'umbrella': 1, 'talk': 1, 'flip': 1, 'lil': 1, 'spatula': 1, 'sink': 1, 'tooth': 1, 'dracula': 1, 'rick': 1, 'spectacular': 1, 'want': 1}"
588,"{'night': 13, 'old': 10, 'mind': 5, 'time': 5, 'matter': 4, 'focus': 4, 'cope': 4, 'pain': 4, 'day': 4, 'thought': 4, 'high': 2, 'alive': 2, 'keepin': 2, 'round': 1, 'world': 1, 'search': 1, 'soul': 1, ""there'ssomethe"": 1, ""i'mwondere"": 1, 'mystory': 1, 'end': 1, 'light': 1, 'gettin': 1, 'ask': 1, 'minute': 1, 'thankful': 1, 'leave': 1, 'find': 1}"
589,"{'think': 5, 'wrong': 5, 'speaker': 4, 'true': 4, 'mama': 4, 'saddle': 4, 'stage': 4, 'place': 4, 'rattle': 4, 'team': 4, 'train': 4, 'track': 4, 'good': 3, 'black': 3, 'blast': 3, 'bleacher': 3, 'daddy': 3, 'guy': 2, 'red': 2, 'man': 2, 'marshall': 2, ""ol'"": 2, 'sun': 2, 'come': 2, 'steel': 1, 'toe': 1, 'cover': 1, 'dirt': 1, 'rock': 1, 'roll': 1, 't': 1, 'shirt': 1, 'headedto': 1, 'work': 1, 'apack': 1, 'hispocket': 1, 'rockin': 1, 'wear': 1, 'beat': 1, 'tele': 1, 'stack': 1, 'little': 1, 'tucker': 1, 'pack': 1, 'boy': 1, 'day': 1, 'gettin': 1, 'sideway': 1, 'chick': 1, 'wearin': 1, 'blue': 1, 'jean': 1, 'tight': 1, 'grip': 1, 'koozie': 1, 'like': 1, 'pick': 1, 'pickup': 1, 'kickin': 1}"
590,"{'homesick': 8, 'brown': 4, 'baby': 4, 'feelin': 3, 'quit': 3, 'half': 3, 'missin': 3, 'heaven': 3, 'know': 3, 'wanna': 3, 'eye': 3, 'tangle': 3, 'holdin': 3, 'tonight': 3, 'damn': 3, 'truth': 3, 'home': 3, 'heart': 3, 'little': 2, 'mornin': 2, 'dancin': 1, 'kitchen': 1, 'singe': 1, 'favorite': 1, 'song': 1, 'swinge': 1, 'porch': 1, 'laugh': 1, 'dog': 1, 'swear': 1, 'love': 1, 'whisperin': 1, 'goodnight': 1, 'moment': 1, 'reason': 1, 'feel': 1, 'kane': 1, 'sign': 1, 'line': 1, 'door': 1, 'sell': 1, 'town': 1, 'dream': 1, 'think': 1, 'morning': 1}"
591,"{'gang': 18, 'nigga': 14, 'die': 12, 'bitch': 9, 'mean': 8, 'murder': 6, 'slatt': 6, 'pussy': 5, 'doo': 5, 'different': 4, 'shit': 4, 'pop': 3, 'team': 3, 'light': 3, 'choppa': 3, 'big': 3, 'blow': 3, 'hang': 3, 'tote': 3, 'gat': 3, 'whacked': 3, 'fact': 3, 'talk': 3, 'let': 3, 'pic': 3, 'life': 2, 'clique': 2, 'play': 2, 'ya': 1, 'dig': 1, ""i'moutside"": 1, 'gangwith': 1, 'thatmean': 1, 'shoot': 1, '.223': 1, 'bah': 1, 'know': 1, 'slide': 1, 'bee': 1, 'hive': 1, 'kind': 1, 'time': 1, 'rocking': 1, 'number': 1, 'n)ine': 1, 'jean': 1, 'fly': 1, 'fire': 1, 'tough': 1, 'smoke': 1, 'blunt': 1, 'cry': 1, 'fuck': 1, 'switchin': 1, 'whip': 1, 'dick': 1, 'ride': 1, 'lame': 1, 'bang': 1, 'look': 1, 'trippie': 1, 'redd': 1, 'scare': 1, 'lot': 1, 'like': 1, 'dead': 1}"
592,"{'raise': 6, 'hell': 4, 'throwin': 3, 'friday': 3, 'night': 3, 'america': 3, 'bottle': 3, 'burn': 3, 'fire': 3, 'light': 3, ""nothin'"": 3, 'half': 3, 'way': 3, 'couple': 2, 'handle': 2, 'girl': 2, 'town': 2, 'tell': 1, 'story': 1, 'tellin': 1, 'boy': 1, 'clock': 1, 'tryna': 1, 'alittlehammer': 1, 'theirhead': 1, 'liquor': 1, 'store': 1, ""starin'at"": 1, 'fifth': 1, 'pick': 1, 'boot': 1, 'bluetooth': 1, 't': 1, 'shirt': 1, 'sayin': 1, 'sooners': 1, 'small': 1, 'old': 1, 'little': 1, 'hank': 1, 'jr.': 1, 'thank': 1, 'god': 1, 'rowdy': 1, 'friend': 1, 'comin': 1, 'tonight': 1, 'guitar': 1, 'ground': 1, 'sound': 1, 'til': 1, 'pull': 1, 'hillbilly': 1, 'slip': 1, 'fog': 1, 'window': 1, 'kiss': 1, 'play': 1, 'lick': 1, 'a.m.': 1, 'square': 1, 'hay': 1, 'bale': 1, 'pass': 1, 'drunk': 1, 'wake': 1, 'hurt': 1}"
593,"{'rhythm': 36, 'night': 24, 'extremo': 18, 'baby': 15, 'lo': 9, 'como': 8, 'fuego': 7, 'noche': 6, 'rompemo': 6, 'al': 6, 'otro': 6, 'día': 6, 'volvemo': 6, 'tú': 6, 'hacemo': 6, 'tonight': 6, ""'bout"": 6, 'spend': 6, 'dinero': 6, 'party': 6, 'la': 6, 'que': 6, 'toda': 5, 'ritmo': 3, 'y': 3, 'mi': 3, 'culpa': 3, 'pa': 3, 'style': 3, 'stop': 3, 'son': 2, 'ni': 2, 'luzco': 2, 'rosalía': 2, 'wuh': 2, 'rebel': 2, 'live': 2, 'need': 2, 'new': 2, 'thisisthe': 1, 'todala': 1, 'reebok': 1, 'nike': 1, 'sin': 1, 'estilista': 1, 'fly': 1, 'dice': 1, 'guay': 1, 'te': 1, 'niego': 1, 'porque': 1, 'yo': 1, 'hay': 1, 've': 1, 'pregunta': 1, 'na': 1, 'soy': 1, 'próspero': 1, 'tengo': 1, 'claro': 1, 'e': 1, 'es': 1, 'canelo': 1, 'el': 1, 'ring': 1, 'nada': 1, 'asusta': 1, 'vivo': 1, 'base': 1, 'paz': 1, 'tumban': 1, 'hakuna': 1, 'matata': 1, 'timón': 1, 'pumba': 1, 'voy': 1, 'leyenda': 1, 'así': 1, 'dale': 1, 'zumba': 1, 'los': 1, 'dejo': 1, 'ciego': 1, 'con': 1, 'vibra': 1, 'alumbra': 1, 'haters': 1, 'tumba': 1, 'nosotros': 1, 'rumba': 1, 'ra': 1, 'bear': 1, 'wild': 1, 'daredevil': 1, 'hit': 1, 'scenario': 1, 'merry': 1, 'rooftop': 1, 'pedestal': 1, 'flu': 1, 'shot': 1, 'sick': 1, 'medical': 1, 'puta': 1, 'learn': 1, 'shit': 1, 'mexico': 1, 'hahaha': 1, 'improve': 1, 'level': 1, 'lego': 1, 'feel': 1, 'fire': 1, 'dealin': 1, 'addicted': 1, 'quit': 1, 'speak': 1, 'therapist': 1, 'movin': 1, 'narrative': 1, 'nonstop': 1, 'woo': 1, 'like': 1, 'space': 1}"
